Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
163,Dendritic Cell,CCDC88C,1.35,NEW,TRUE,FALSE,FALSE,,
164,Dendritic Cell,CCDC91,3.4,NEW,TRUE,FALSE,FALSE,,
165,Dendritic Cell,CCL4,1.5,NEW,TRUE,FALSE,FALSE,,
166,Dendritic Cell,CCL5,16.6,KNOWN,TRUE,TRUE,TRUE,,
167,Dendritic Cell,CCM2,21.25,KNOWN,TRUE,FALSE,FALSE,,
168,Dendritic Cell,CCNB1,4.9,KNOWN,TRUE,TRUE,TRUE,,
169,Dendritic Cell,CCND2,2.1,KNOWN,TRUE,FALSE,FALSE,,
170,Dendritic Cell,CCND3,248.3,KNOWN,TRUE,TRUE,TRUE,,
171,Dendritic Cell,CCNG1,36.85,KNOWN,TRUE,FALSE,FALSE,,
172,Dendritic Cell,CCNG2,2.1,NEW,TRUE,FALSE,FALSE,,
173,Dendritic Cell,CCNH,22,KNOWN,FALSE,TRUE,FALSE,,
174,Dendritic Cell,CCNK,4.4,KNOWN,TRUE,FALSE,FALSE,,
175,Dendritic Cell,CCNY,5.4,NEW,TRUE,FALSE,FALSE,,
176,Dendritic Cell,CCR1,31.6,NEW,TRUE,FALSE,FALSE,,
177,Dendritic Cell,CCR2,162.45,NEW,FALSE,TRUE,FALSE,,
178,Dendritic Cell,CCR3,2.05,NEW,FALSE,TRUE,FALSE,,
179,Dendritic Cell,CCR5,8.4,KNOWN,TRUE,TRUE,TRUE,,
180,Dendritic Cell,CCR7,28.85,NEW,TRUE,FALSE,FALSE,,
181,Dendritic Cell,CCRL2,5.55,NEW,TRUE,FALSE,FALSE,,
182,Dendritic Cell,CD14,169.4,KNOWN,FALSE,TRUE,FALSE,,
183,Dendritic Cell,CD180,20.7,NEW,TRUE,FALSE,FALSE,,
184,Dendritic Cell,CD2,49.55,KNOWN,FALSE,TRUE,FALSE,,
185,Dendritic Cell,CD22,3.8,NEW,FALSE,TRUE,FALSE,,
186,Dendritic Cell,CD226,1.35,KNOWN,FALSE,TRUE,FALSE,,
187,Dendritic Cell,CD244,19.05,NEW,FALSE,TRUE,FALSE,,
188,Dendritic Cell,CD247,1.95,KNOWN,FALSE,TRUE,FALSE,,
189,Dendritic Cell,CD33,97.2,NEW,TRUE,FALSE,FALSE,,
190,Dendritic Cell,CD36,277.3,KNOWN,FALSE,TRUE,FALSE,,
191,Dendritic Cell,CD4,191.5,KNOWN,FALSE,TRUE,FALSE,,
192,Dendritic Cell,CD44,131.1,KNOWN,TRUE,TRUE,TRUE,,
193,Dendritic Cell,CD47,94.5,KNOWN,FALSE,TRUE,FALSE,,
194,Dendritic Cell,CD48,166.05,KNOWN,FALSE,TRUE,FALSE,,
195,Dendritic Cell,CD5,3.5,KNOWN,TRUE,FALSE,FALSE,,
196,Dendritic Cell,CD58,20.5,NEW,TRUE,FALSE,FALSE,,
197,Dendritic Cell,CD68,990.7,NEW,TRUE,FALSE,FALSE,,
198,Dendritic Cell,CD74,17627.75,KNOWN,TRUE,TRUE,TRUE,,
199,Dendritic Cell,CD82,26.45,NEW,TRUE,TRUE,TRUE,,
200,Dendritic Cell,CD83,5.1,NEW,TRUE,FALSE,FALSE,,
201,Dendritic Cell,CD86,41.05,KNOWN,TRUE,TRUE,TRUE,,
202,Dendritic Cell,CD93,4.5,KNOWN,FALSE,TRUE,FALSE,,
203,Dendritic Cell,CDC14A,4.35,NEW,TRUE,FALSE,FALSE,,
204,Dendritic Cell,CDC25B,1.65,KNOWN,FALSE,TRUE,FALSE,,
205,Dendritic Cell,CDC34,1.6,KNOWN,FALSE,TRUE,FALSE,,
206,Dendritic Cell,CDC37,88.3,KNOWN,FALSE,TRUE,FALSE,,
207,Dendritic Cell,CDC42,117.05,KNOWN,FALSE,TRUE,FALSE,,
208,Dendritic Cell,CDC42EP3,13.95,NEW,TRUE,FALSE,FALSE,,
209,Dendritic Cell,CDC42SE2,53.55,KNOWN,TRUE,FALSE,FALSE,,
210,Dendritic Cell,CDC6,1.55,KNOWN,FALSE,TRUE,FALSE,,
211,Dendritic Cell,CDC7,1.65,KNOWN,TRUE,TRUE,TRUE,,
212,Dendritic Cell,CDH1,3.2,KNOWN,FALSE,TRUE,FALSE,,
213,Dendritic Cell,CDH23,6.35,NEW,TRUE,FALSE,FALSE,,
214,Dendritic Cell,CDK11B,3.95,KNOWN,FALSE,TRUE,FALSE,,
215,Dendritic Cell,CDK12,2.05,NEW,FALSE,TRUE,FALSE,,
216,Dendritic Cell,CDK16,9.55,NEW,FALSE,TRUE,FALSE,,
217,Dendritic Cell,CDK2,4.7,KNOWN,TRUE,TRUE,TRUE,,
218,Dendritic Cell,CDK4,61.55,KNOWN,TRUE,TRUE,TRUE,,
219,Dendritic Cell,CDK5,26.95,KNOWN,TRUE,TRUE,TRUE,,
220,Dendritic Cell,CDK5RAP2,1.5,NEW,TRUE,FALSE,FALSE,,
221,Dendritic Cell,CDK6,2.25,KNOWN,TRUE,TRUE,TRUE,,
222,Dendritic Cell,CDK7,12.7,KNOWN,TRUE,TRUE,TRUE,,
223,Dendritic Cell,CDK9,6.85,KNOWN,TRUE,TRUE,TRUE,,
224,Dendritic Cell,CDKAL1,4.15,NEW,TRUE,FALSE,FALSE,,
225,Dendritic Cell,CDKN1A,18.1,KNOWN,TRUE,TRUE,TRUE,,
226,Dendritic Cell,CDKN1B,3.3,KNOWN,TRUE,TRUE,TRUE,,
227,Dendritic Cell,CDKN1C,9.85,KNOWN,FALSE,TRUE,FALSE,,
228,Dendritic Cell,CDKN2C,7.15,NEW,TRUE,TRUE,TRUE,,
229,Dendritic Cell,CDKN3,1.35,KNOWN,FALSE,TRUE,FALSE,,
230,Dendritic Cell,CDYL,4.65,NEW,TRUE,FALSE,FALSE,,
231,Dendritic Cell,CEBPA,2.3,NEW,TRUE,TRUE,TRUE,,
232,Dendritic Cell,CEBPD,1.85,NEW,TRUE,FALSE,FALSE,,
233,Dendritic Cell,CELF1,9.5,NEW,TRUE,FALSE,FALSE,,
234,Dendritic Cell,CEP128,4,NEW,TRUE,FALSE,FALSE,,
235,Dendritic Cell,CEP85L,3.6,NEW,TRUE,FALSE,FALSE,,
236,Dendritic Cell,CFL1,2490.3,KNOWN,FALSE,TRUE,FALSE,,
237,Dendritic Cell,CFLAR,25.15,KNOWN,TRUE,TRUE,TRUE,,
238,Dendritic Cell,CHD2,23.35,NEW,TRUE,FALSE,FALSE,,
239,Dendritic Cell,CHD9,66.4,KNOWN,TRUE,FALSE,FALSE,,
240,Dendritic Cell,CHEK2,6.75,KNOWN,TRUE,TRUE,TRUE,,
241,Dendritic Cell,CHN2,4.9,NEW,TRUE,TRUE,TRUE,,
242,Dendritic Cell,CHST15,4.15,NEW,TRUE,FALSE,FALSE,,
243,Dendritic Cell,CISH,5.1,KNOWN,TRUE,FALSE,FALSE,,
244,Dendritic Cell,CKS1B,51.95,KNOWN,FALSE,TRUE,FALSE,,
245,Dendritic Cell,CLC,6,NEW,TRUE,FALSE,FALSE,,
246,Dendritic Cell,CLEC16A,1.6,NEW,TRUE,FALSE,FALSE,,
247,Dendritic Cell,CLIC2,21.3,NEW,TRUE,FALSE,FALSE,,
248,Dendritic Cell,CMKLR1,9.75,NEW,TRUE,FALSE,FALSE,,
249,Dendritic Cell,CMTM7,65.4,NEW,TRUE,FALSE,FALSE,,
250,Dendritic Cell,CMTR1,4.2,NEW,TRUE,FALSE,FALSE,,
251,Dendritic Cell,COP1,1.4,NEW,TRUE,TRUE,TRUE,,
252,Dendritic Cell,COPS5,37.5,NEW,TRUE,TRUE,TRUE,,
253,Dendritic Cell,COPS6,163.95,NEW,FALSE,TRUE,FALSE,,
254,Dendritic Cell,CPQ,29.8,NEW,TRUE,FALSE,FALSE,,
255,Dendritic Cell,CRADD,10.55,KNOWN,TRUE,FALSE,FALSE,,
256,Dendritic Cell,CREB1,23.4,KNOWN,TRUE,TRUE,TRUE,,
257,Dendritic Cell,CREB5,8,KNOWN,TRUE,FALSE,FALSE,,
258,Dendritic Cell,CREM,7.45,KNOWN,TRUE,FALSE,FALSE,,
259,Dendritic Cell,CRK,3.75,KNOWN,FALSE,TRUE,FALSE,,
260,Dendritic Cell,CRKL,11.05,KNOWN,FALSE,TRUE,FALSE,,
261,Dendritic Cell,CSF1R,62.65,KNOWN,FALSE,TRUE,FALSE,,
262,Dendritic Cell,CSGALNACT1,3.15,NEW,TRUE,FALSE,FALSE,,
263,Dendritic Cell,CSK,54.05,KNOWN,FALSE,TRUE,FALSE,,
264,Dendritic Cell,CSNK1A1,54.6,KNOWN,TRUE,TRUE,TRUE,,
265,Dendritic Cell,CSNK1D,13.3,KNOWN,TRUE,TRUE,TRUE,,
266,Dendritic Cell,CSNK1E,8,KNOWN,TRUE,TRUE,TRUE,,
267,Dendritic Cell,CSNK2A1,26.2,NEW,TRUE,TRUE,TRUE,,
268,Dendritic Cell,CSNK2A2,7.4,KNOWN,TRUE,TRUE,TRUE,,
269,Dendritic Cell,CSNK2B,21.15,KNOWN,TRUE,TRUE,TRUE,,
270,Dendritic Cell,CSRP1,28.65,NEW,TRUE,FALSE,FALSE,,
271,Dendritic Cell,CTBP1,25.15,KNOWN,FALSE,TRUE,FALSE,,
272,Dendritic Cell,CTCF,3.45,KNOWN,TRUE,FALSE,FALSE,,
