Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
649,Dendritic Cell,KLF2,1.7,NEW,TRUE,FALSE,FALSE,,
650,Dendritic Cell,KLF4,1.45,KNOWN,TRUE,FALSE,FALSE,,
651,Dendritic Cell,KLF6,100.05,KNOWN,TRUE,FALSE,FALSE,,
652,Dendritic Cell,KLF7,3.45,NEW,TRUE,FALSE,FALSE,,
653,Dendritic Cell,KLHL6,2.9,NEW,TRUE,FALSE,FALSE,,
654,Dendritic Cell,KLRD1,1.5,NEW,FALSE,TRUE,FALSE,,
655,Dendritic Cell,KLRK1,1.05,KNOWN,FALSE,TRUE,FALSE,,
656,Dendritic Cell,KMT5A,1.2,NEW,FALSE,TRUE,FALSE,,
657,Dendritic Cell,KPNA2,45,KNOWN,FALSE,TRUE,FALSE,,
658,Dendritic Cell,KPNB1,4.75,KNOWN,FALSE,TRUE,FALSE,,
659,Dendritic Cell,KRAS,8.8,KNOWN,FALSE,TRUE,FALSE,,
660,Dendritic Cell,KRT8,1.1,KNOWN,TRUE,FALSE,FALSE,,
661,Dendritic Cell,KTN1,117.55,NEW,FALSE,TRUE,FALSE,,
662,Dendritic Cell,KYNU,85.3,NEW,TRUE,FALSE,FALSE,,
663,Dendritic Cell,LAP3,142.3,NEW,TRUE,FALSE,FALSE,,
664,Dendritic Cell,LAPTM5,535.55,NEW,TRUE,FALSE,FALSE,,
665,Dendritic Cell,LASP1,21.5,NEW,FALSE,TRUE,FALSE,,
666,Dendritic Cell,LATS1,2.7,NEW,TRUE,TRUE,TRUE,,
667,Dendritic Cell,LCP2,16.2,KNOWN,TRUE,TRUE,TRUE,,
668,Dendritic Cell,LDLR,1.05,KNOWN,TRUE,FALSE,FALSE,,
669,Dendritic Cell,LGALS3,124.25,NEW,TRUE,FALSE,FALSE,,
670,Dendritic Cell,LHFPL2,3.35,NEW,TRUE,FALSE,FALSE,,
671,Dendritic Cell,LIMD1,3.2,NEW,TRUE,FALSE,FALSE,,
672,Dendritic Cell,LIMK1,3.4,KNOWN,FALSE,TRUE,FALSE,,
673,Dendritic Cell,LIMK2,2.9,NEW,TRUE,TRUE,TRUE,,
674,Dendritic Cell,LIMS1,29.25,NEW,TRUE,TRUE,TRUE,,
675,Dendritic Cell,LIPA,62.75,NEW,TRUE,FALSE,FALSE,,
676,Dendritic Cell,LITAF,180.05,NEW,TRUE,FALSE,FALSE,,
677,Dendritic Cell,LMNA,50.3,NEW,TRUE,FALSE,FALSE,,
678,Dendritic Cell,LPP,3.7,NEW,TRUE,FALSE,FALSE,,
679,Dendritic Cell,LRRFIP1,71,NEW,TRUE,FALSE,FALSE,,
680,Dendritic Cell,LRRK2,2.2,KNOWN,TRUE,TRUE,TRUE,,
681,Dendritic Cell,LTB,33.7,KNOWN,FALSE,TRUE,FALSE,,
682,Dendritic Cell,LTBR,25.85,KNOWN,FALSE,TRUE,FALSE,,
683,Dendritic Cell,LTK,2.35,KNOWN,FALSE,TRUE,FALSE,,
684,Dendritic Cell,LY96,35.9,KNOWN,TRUE,FALSE,FALSE,,
685,Dendritic Cell,LYN,21.45,KNOWN,TRUE,TRUE,TRUE,,
686,Dendritic Cell,MACF1,1.85,KNOWN,TRUE,FALSE,FALSE,,
687,Dendritic Cell,MAD1L1,43.95,NEW,TRUE,FALSE,FALSE,,
688,Dendritic Cell,MAF1,85.85,NEW,FALSE,TRUE,FALSE,,
689,Dendritic Cell,MAFG,1.8,KNOWN,FALSE,TRUE,FALSE,,
690,Dendritic Cell,MAML3,1.15,KNOWN,TRUE,FALSE,FALSE,,
691,Dendritic Cell,MAN1A1,1.45,NEW,TRUE,FALSE,FALSE,,
692,Dendritic Cell,MAP1LC3A,1.75,KNOWN,FALSE,TRUE,FALSE,,
693,Dendritic Cell,MAP2K1,10.35,KNOWN,FALSE,TRUE,FALSE,,
694,Dendritic Cell,MAP2K2,11.05,KNOWN,FALSE,TRUE,FALSE,,
695,Dendritic Cell,MAP2K3,42.2,NEW,FALSE,TRUE,FALSE,,
696,Dendritic Cell,MAP2K4,1.3,KNOWN,FALSE,TRUE,FALSE,,
697,Dendritic Cell,MAP2K5,4.9,NEW,FALSE,TRUE,FALSE,,
698,Dendritic Cell,MAP2K6,39.15,NEW,FALSE,TRUE,FALSE,,
699,Dendritic Cell,MAP3K1,1.3,KNOWN,TRUE,TRUE,TRUE,,
700,Dendritic Cell,MAP3K11,5.45,KNOWN,FALSE,TRUE,FALSE,,
701,Dendritic Cell,MAP3K2,2.9,KNOWN,FALSE,TRUE,FALSE,,
702,Dendritic Cell,MAP3K20,6.85,NEW,FALSE,TRUE,FALSE,,
703,Dendritic Cell,MAP3K3,2.95,KNOWN,FALSE,TRUE,FALSE,,
704,Dendritic Cell,MAP3K4,5,KNOWN,FALSE,TRUE,FALSE,,
705,Dendritic Cell,MAP3K5,1.35,KNOWN,TRUE,TRUE,TRUE,,
706,Dendritic Cell,MAP3K7,10.45,KNOWN,TRUE,TRUE,TRUE,,
707,Dendritic Cell,MAP3K8,20,KNOWN,TRUE,TRUE,TRUE,,
708,Dendritic Cell,MAP4,8.15,NEW,TRUE,FALSE,FALSE,,
709,Dendritic Cell,MAP4K1,22.25,KNOWN,FALSE,TRUE,FALSE,,
710,Dendritic Cell,MAP4K2,4.25,KNOWN,FALSE,TRUE,FALSE,,
711,Dendritic Cell,MAP4K4,3.25,KNOWN,TRUE,TRUE,TRUE,,
712,Dendritic Cell,MAP4K5,3.6,KNOWN,FALSE,TRUE,FALSE,,
713,Dendritic Cell,MAPK1,3,KNOWN,TRUE,TRUE,TRUE,,
714,Dendritic Cell,MAPK14,5.65,KNOWN,TRUE,TRUE,TRUE,,
715,Dendritic Cell,MAPK3,2.35,KNOWN,TRUE,TRUE,TRUE,,
716,Dendritic Cell,MAPK7,1.55,KNOWN,FALSE,TRUE,FALSE,,
717,Dendritic Cell,MAPK8,1.35,KNOWN,TRUE,TRUE,TRUE,,
718,Dendritic Cell,MAPKAP1,5.45,NEW,TRUE,TRUE,TRUE,,
719,Dendritic Cell,MAPKAPK2,11.05,KNOWN,TRUE,TRUE,TRUE,,
720,Dendritic Cell,MAPKAPK3,99.9,KNOWN,TRUE,FALSE,FALSE,,
721,Dendritic Cell,MAPKAPK5,2.2,NEW,TRUE,TRUE,TRUE,,
722,Dendritic Cell,MARCH1,26.85,NEW,TRUE,FALSE,FALSE,,
723,Dendritic Cell,MARK3,3.1,KNOWN,TRUE,TRUE,TRUE,,
724,Dendritic Cell,MAT2A,18.1,NEW,TRUE,FALSE,FALSE,,
725,Dendritic Cell,MAVS,1.4,NEW,TRUE,TRUE,TRUE,,
726,Dendritic Cell,MAX,106.7,NEW,FALSE,TRUE,FALSE,,
727,Dendritic Cell,MBNL1,42.2,NEW,TRUE,FALSE,FALSE,,
728,Dendritic Cell,MBP,9.55,NEW,TRUE,FALSE,FALSE,,
729,Dendritic Cell,MCC,1.25,NEW,TRUE,FALSE,FALSE,,
730,Dendritic Cell,MCL1,11.85,KNOWN,TRUE,FALSE,FALSE,,
731,Dendritic Cell,MCM3,21.75,KNOWN,TRUE,FALSE,FALSE,,
732,Dendritic Cell,MCM7,3.4,KNOWN,TRUE,FALSE,FALSE,,
733,Dendritic Cell,MCPH1,2.25,NEW,FALSE,TRUE,FALSE,,
734,Dendritic Cell,MCTP1,15.1,NEW,TRUE,FALSE,FALSE,,
735,Dendritic Cell,MDM2,3.4,KNOWN,TRUE,TRUE,TRUE,,
736,Dendritic Cell,MDM4,5.2,KNOWN,TRUE,TRUE,TRUE,,
737,Dendritic Cell,MED14,1.75,KNOWN,FALSE,TRUE,FALSE,,
738,Dendritic Cell,MED15,8.65,KNOWN,TRUE,FALSE,FALSE,,
739,Dendritic Cell,MED16,30.65,KNOWN,TRUE,FALSE,FALSE,,
740,Dendritic Cell,MED28,4.9,NEW,TRUE,FALSE,FALSE,,
741,Dendritic Cell,MED4,55.2,KNOWN,TRUE,FALSE,FALSE,,
742,Dendritic Cell,MEF2C,88.15,KNOWN,TRUE,TRUE,TRUE,,
743,Dendritic Cell,MEF2D,3,KNOWN,TRUE,FALSE,FALSE,,
744,Dendritic Cell,METTL8,4.85,NEW,TRUE,FALSE,FALSE,,
745,Dendritic Cell,METTL9,18.15,NEW,TRUE,FALSE,FALSE,,
746,Dendritic Cell,MGAT1,146.45,NEW,TRUE,FALSE,FALSE,,
747,Dendritic Cell,MGLL,45.6,NEW,TRUE,FALSE,FALSE,,
748,Dendritic Cell,MGMT,26.3,KNOWN,TRUE,FALSE,FALSE,,
749,Dendritic Cell,MGRN1,3,NEW,TRUE,FALSE,FALSE,,
750,Dendritic Cell,MICAL2,2.65,NEW,TRUE,FALSE,FALSE,,
751,Dendritic Cell,MITF,3.05,KNOWN,TRUE,FALSE,FALSE,,
752,Dendritic Cell,MKNK1,10.65,KNOWN,FALSE,TRUE,FALSE,,
753,Dendritic Cell,MKNK2,7.8,KNOWN,FALSE,TRUE,FALSE,,
754,Dendritic Cell,MKRN1,10.55,NEW,FALSE,TRUE,FALSE,,
755,Dendritic Cell,MLH1,11.5,KNOWN,TRUE,TRUE,TRUE,,
756,Dendritic Cell,MOB1A,45.95,NEW,TRUE,FALSE,FALSE,,
757,Dendritic Cell,MOB1B,1.7,NEW,TRUE,FALSE,FALSE,,
758,Dendritic Cell,MOV10,3.45,NEW,TRUE,FALSE,FALSE,,
759,Dendritic Cell,MPG,74.6,KNOWN,FALSE,TRUE,FALSE,,
760,Dendritic Cell,MPRIP,5.75,NEW,FALSE,TRUE,FALSE,,
761,Dendritic Cell,MPZL1,37.1,NEW,TRUE,FALSE,FALSE,,
762,Dendritic Cell,MR1,13,KNOWN,TRUE,FALSE,FALSE,,
763,Dendritic Cell,MRC1,2.1,NEW,FALSE,TRUE,FALSE,,
764,Dendritic Cell,MRE11,8.7,NEW,TRUE,TRUE,TRUE,,
765,Dendritic Cell,MRPL27,160.2,NEW,TRUE,FALSE,FALSE,,
766,Dendritic Cell,MRPS27,27,NEW,TRUE,FALSE,FALSE,,
767,Dendritic Cell,MSC,2.85,NEW,TRUE,FALSE,FALSE,,
768,Dendritic Cell,MSH2,2.7,KNOWN,TRUE,TRUE,TRUE,,
769,Dendritic Cell,MTHFR,1.1,NEW,TRUE,FALSE,FALSE,,
770,Dendritic Cell,MTOR,1.25,KNOWN,TRUE,TRUE,TRUE,,
771,Dendritic Cell,MTSS1,5.25,KNOWN,TRUE,FALSE,FALSE,,
772,Dendritic Cell,MVP,82.25,NEW,TRUE,FALSE,FALSE,,
773,Dendritic Cell,MX1,42.15,KNOWN,TRUE,FALSE,FALSE,,
774,Dendritic Cell,MYBL2,42.25,NEW,FALSE,TRUE,FALSE,,
775,Dendritic Cell,MYC,18.95,KNOWN,TRUE,TRUE,TRUE,,
776,Dendritic Cell,MYCBP2,2.1,NEW,TRUE,TRUE,TRUE,,
777,Dendritic Cell,MYH9,11.2,NEW,TRUE,FALSE,FALSE,,
778,Dendritic Cell,MYLK,3.05,NEW,TRUE,TRUE,TRUE,,
779,Dendritic Cell,MYO9B,2.6,KNOWN,TRUE,FALSE,FALSE,,
780,Dendritic Cell,MYOF,6.05,KNOWN,TRUE,FALSE,FALSE,,
781,Dendritic Cell,NAA35,3.95,NEW,TRUE,FALSE,FALSE,,
782,Dendritic Cell,NABP1,2.3,NEW,TRUE,FALSE,FALSE,,
783,Dendritic Cell,NAIP,2.45,NEW,FALSE,TRUE,FALSE,,
784,Dendritic Cell,NBN,13.25,NEW,TRUE,TRUE,TRUE,,
785,Dendritic Cell,NCBP1,8.35,KNOWN,FALSE,TRUE,FALSE,,
786,Dendritic Cell,NCK1,15.05,KNOWN,FALSE,TRUE,FALSE,,
787,Dendritic Cell,NCK2,1.35,KNOWN,FALSE,TRUE,FALSE,,
788,Dendritic Cell,NCL,135.35,NEW,FALSE,TRUE,FALSE,,
789,Dendritic Cell,NCOA1,3.55,KNOWN,TRUE,TRUE,TRUE,,
790,Dendritic Cell,NCOA3,4.45,KNOWN,FALSE,TRUE,FALSE,,
791,Dendritic Cell,NCOA7,20.35,NEW,TRUE,FALSE,FALSE,,
792,Dendritic Cell,NDRG1,8,KNOWN,TRUE,TRUE,TRUE,,
793,Dendritic Cell,NDRG2,91.4,NEW,FALSE,TRUE,FALSE,,
794,Dendritic Cell,NDST1,2,NEW,TRUE,FALSE,FALSE,,
795,Dendritic Cell,NEDD9,10.15,NEW,TRUE,TRUE,TRUE,,
796,Dendritic Cell,NEK6,25.1,NEW,TRUE,TRUE,TRUE,,
797,Dendritic Cell,NEK7,1.45,NEW,TRUE,FALSE,FALSE,,
798,Dendritic Cell,NEK9,1.65,KNOWN,FALSE,TRUE,FALSE,,
799,Dendritic Cell,NF2,11.35,KNOWN,FALSE,TRUE,FALSE,,
800,Dendritic Cell,NFAM1,7.35,NEW,FALSE,TRUE,FALSE,,
801,Dendritic Cell,NFATC1,2.7,KNOWN,TRUE,FALSE,FALSE,,
802,Dendritic Cell,NFATC3,3.9,KNOWN,FALSE,TRUE,FALSE,,
803,Dendritic Cell,NFIA,1.05,NEW,TRUE,FALSE,FALSE,,
804,Dendritic Cell,NFIC,1.95,KNOWN,TRUE,FALSE,FALSE,,
805,Dendritic Cell,NFKBIZ,4.5,KNOWN,TRUE,FALSE,FALSE,,
806,Dendritic Cell,NFYA,3.45,KNOWN,TRUE,TRUE,TRUE,,
807,Dendritic Cell,NFYB,9.55,KNOWN,TRUE,FALSE,FALSE,,
808,Dendritic Cell,NFYC,47.35,KNOWN,TRUE,FALSE,FALSE,,
809,Dendritic Cell,NIN,4.85,NEW,FALSE,TRUE,FALSE,,
810,Dendritic Cell,NINJ1,36.7,NEW,TRUE,FALSE,FALSE,,
811,Dendritic Cell,NKIRAS1,3.1,NEW,FALSE,TRUE,FALSE,,
812,Dendritic Cell,NLRC5,1.2,NEW,TRUE,FALSE,FALSE,,
813,Dendritic Cell,NME1,66.65,KNOWN,TRUE,FALSE,FALSE,,
814,Dendritic Cell,NME7,4.45,NEW,TRUE,FALSE,FALSE,,
815,Dendritic Cell,NMI,50.25,KNOWN,TRUE,FALSE,FALSE,,
816,Dendritic Cell,NOD1,5.15,KNOWN,FALSE,TRUE,FALSE,,
817,Dendritic Cell,NOLC1,12.95,NEW,TRUE,TRUE,TRUE,,
818,Dendritic Cell,NOTCH2,3.45,KNOWN,FALSE,TRUE,FALSE,,
819,Dendritic Cell,NPM1,481.4,KNOWN,FALSE,TRUE,FALSE,,
820,Dendritic Cell,NQO1,2.4,NEW,TRUE,FALSE,FALSE,,
821,Dendritic Cell,NQO2,33.05,NEW,TRUE,FALSE,FALSE,,
822,Dendritic Cell,NR1D1,1.05,NEW,FALSE,TRUE,FALSE,,
823,Dendritic Cell,NR1H2,90.2,KNOWN,FALSE,TRUE,FALSE,,
824,Dendritic Cell,NR2C2,1.1,KNOWN,FALSE,TRUE,FALSE,,
825,Dendritic Cell,NR3C1,24.5,KNOWN,TRUE,TRUE,TRUE,,
826,Dendritic Cell,NR4A1,1.75,KNOWN,TRUE,TRUE,TRUE,,
827,Dendritic Cell,NRAS,9.7,KNOWN,FALSE,TRUE,FALSE,,
828,Dendritic Cell,NRG1,3.5,NEW,TRUE,TRUE,TRUE,,
829,Dendritic Cell,NRP1,19.55,KNOWN,TRUE,TRUE,TRUE,,
830,Dendritic Cell,NSD1,7.2,NEW,TRUE,FALSE,FALSE,,
831,Dendritic Cell,NSMAF,8.35,NEW,TRUE,FALSE,FALSE,,
832,Dendritic Cell,NTM,8.05,NEW,TRUE,FALSE,FALSE,,
833,Dendritic Cell,NUAK2,6.45,NEW,FALSE,TRUE,FALSE,,
834,Dendritic Cell,NUMB,35.8,KNOWN,FALSE,TRUE,FALSE,,
835,Dendritic Cell,NUP153,1.35,NEW,FALSE,TRUE,FALSE,,
836,Dendritic Cell,NUP210,5.05,NEW,TRUE,FALSE,FALSE,,
837,Dendritic Cell,OAS2,17.25,NEW,TRUE,FALSE,FALSE,,
838,Dendritic Cell,OAS3,2.45,NEW,TRUE,FALSE,FALSE,,
839,Dendritic Cell,OASL,4.9,NEW,TRUE,FALSE,FALSE,,
840,Dendritic Cell,OGG1,11.2,NEW,TRUE,FALSE,FALSE,,
841,Dendritic Cell,OGT,5.55,NEW,FALSE,TRUE,FALSE,,
842,Dendritic Cell,OLR1,1.3,KNOWN,FALSE,TRUE,FALSE,,
843,Dendritic Cell,OPTN,2.85,KNOWN,TRUE,FALSE,FALSE,,
844,Dendritic Cell,OSBPL3,2.45,NEW,TRUE,FALSE,FALSE,,
845,Dendritic Cell,OSBPL8,46.2,NEW,TRUE,FALSE,FALSE,,
846,Dendritic Cell,OSBPL9,24.35,NEW,TRUE,FALSE,FALSE,,
847,Dendritic Cell,OTUB1,152.55,KNOWN,FALSE,TRUE,FALSE,,
848,Dendritic Cell,OXSR1,1.75,NEW,FALSE,TRUE,FALSE,,
849,Dendritic Cell,P2RY6,56.75,NEW,TRUE,TRUE,TRUE,,
850,Dendritic Cell,PA2G4,89.65,KNOWN,TRUE,TRUE,TRUE,,
851,Dendritic Cell,PACSIN2,13,KNOWN,TRUE,FALSE,FALSE,,
852,Dendritic Cell,PAG1,2.75,KNOWN,TRUE,TRUE,TRUE,,
853,Dendritic Cell,PAK1,124.55,KNOWN,TRUE,TRUE,TRUE,,
854,Dendritic Cell,PAK2,15.4,KNOWN,FALSE,TRUE,FALSE,,
855,Dendritic Cell,PANK2,4.8,NEW,TRUE,FALSE,FALSE,,
856,Dendritic Cell,PARD6A,2.85,KNOWN,FALSE,TRUE,FALSE,,
857,Dendritic Cell,PARK7,814.35,KNOWN,FALSE,TRUE,FALSE,,
858,Dendritic Cell,PARP1,53.9,KNOWN,FALSE,TRUE,FALSE,,
859,Dendritic Cell,PARP10,8.95,NEW,TRUE,FALSE,FALSE,,
860,Dendritic Cell,PARP14,3.1,NEW,TRUE,FALSE,FALSE,,
861,Dendritic Cell,PARP9,13.45,NEW,TRUE,FALSE,FALSE,,
862,Dendritic Cell,PCBP2,45.6,NEW,FALSE,TRUE,FALSE,,
863,Dendritic Cell,PCK2,7.55,NEW,TRUE,FALSE,FALSE,,
864,Dendritic Cell,PCNA,27.1,KNOWN,TRUE,TRUE,TRUE,,
865,Dendritic Cell,PDE4B,5.7,NEW,TRUE,FALSE,FALSE,,
866,Dendritic Cell,PDE7A,1.75,NEW,TRUE,FALSE,FALSE,,
867,Dendritic Cell,PDGFA,1.75,NEW,FALSE,TRUE,FALSE,,
868,Dendritic Cell,PDIA3,13.75,KNOWN,FALSE,TRUE,FALSE,,
869,Dendritic Cell,PDK1,1.75,NEW,FALSE,TRUE,FALSE,,
870,Dendritic Cell,PDK2,19,NEW,FALSE,TRUE,FALSE,,
871,Dendritic Cell,PDLIM5,11.45,NEW,TRUE,FALSE,FALSE,,
872,Dendritic Cell,PDPK1,6.2,KNOWN,TRUE,TRUE,TRUE,,
873,Dendritic Cell,PEA15,35.25,KNOWN,FALSE,TRUE,FALSE,,
874,Dendritic Cell,PEBP1,154.55,KNOWN,TRUE,TRUE,TRUE,,
875,Dendritic Cell,PECAM1,108.3,NEW,TRUE,FALSE,FALSE,,
876,Dendritic Cell,PELI1,2.5,NEW,TRUE,TRUE,TRUE,,
877,Dendritic Cell,PER2,1.45,NEW,TRUE,FALSE,FALSE,,
878,Dendritic Cell,PFKFB3,3.4,NEW,TRUE,FALSE,FALSE,,
879,Dendritic Cell,PFN1,5646.65,KNOWN,FALSE,TRUE,FALSE,,
880,Dendritic Cell,PGK1,205.6,NEW,FALSE,TRUE,FALSE,,
881,Dendritic Cell,PGPEP1,2.5,NEW,TRUE,FALSE,FALSE,,
882,Dendritic Cell,PGS1,13.85,NEW,TRUE,FALSE,FALSE,,
883,Dendritic Cell,PHACTR1,35.45,NEW,TRUE,TRUE,TRUE,,
884,Dendritic Cell,PHACTR2,3,NEW,TRUE,FALSE,FALSE,,
885,Dendritic Cell,PHACTR4,2,NEW,TRUE,FALSE,FALSE,,
886,Dendritic Cell,PHB,291.65,KNOWN,FALSE,TRUE,FALSE,,
887,Dendritic Cell,PIAS1,21.25,KNOWN,FALSE,TRUE,FALSE,,
888,Dendritic Cell,PIAS3,6.85,KNOWN,TRUE,FALSE,FALSE,,
889,Dendritic Cell,PIAS4,9.55,KNOWN,FALSE,TRUE,FALSE,,
890,Dendritic Cell,PIEZO1,5.05,NEW,TRUE,FALSE,FALSE,,
891,Dendritic Cell,PIK3AP1,10.85,NEW,TRUE,TRUE,TRUE,,
892,Dendritic Cell,PIK3C3,7.1,KNOWN,FALSE,TRUE,FALSE,,
893,Dendritic Cell,PIK3CA,1.05,KNOWN,FALSE,TRUE,FALSE,,
894,Dendritic Cell,PIK3CB,4.05,KNOWN,FALSE,TRUE,FALSE,,
895,Dendritic Cell,PIK3CG,7.95,KNOWN,FALSE,TRUE,FALSE,,
896,Dendritic Cell,PIK3R4,4.15,KNOWN,FALSE,TRUE,FALSE,,
897,Dendritic Cell,PIK3R5,9.3,NEW,TRUE,FALSE,FALSE,,
898,Dendritic Cell,PIM1,3.75,KNOWN,TRUE,TRUE,TRUE,,
899,Dendritic Cell,PIM2,12.9,NEW,TRUE,FALSE,FALSE,,
900,Dendritic Cell,PIM3,4.1,NEW,TRUE,FALSE,FALSE,,
901,Dendritic Cell,PIN1,221.6,KNOWN,FALSE,TRUE,FALSE,,
902,Dendritic Cell,PIP4K2A,40.05,NEW,TRUE,TRUE,TRUE,,
903,Dendritic Cell,PKIG,20.65,NEW,TRUE,FALSE,FALSE,,
904,Dendritic Cell,PKM,376.95,NEW,TRUE,TRUE,TRUE,,
905,Dendritic Cell,PKN1,19.95,KNOWN,FALSE,TRUE,FALSE,,
906,Dendritic Cell,PKN2,6.2,KNOWN,FALSE,TRUE,FALSE,,
907,Dendritic Cell,PLA2G4A,4.75,KNOWN,FALSE,TRUE,FALSE,,
908,Dendritic Cell,PLAC8,1111.15,NEW,TRUE,FALSE,FALSE,,
909,Dendritic Cell,PLAGL1,9.6,NEW,TRUE,FALSE,FALSE,,
910,Dendritic Cell,PLAU,1.4,KNOWN,TRUE,TRUE,TRUE,,
911,Dendritic Cell,PLAUR,123.4,KNOWN,TRUE,TRUE,TRUE,,
912,Dendritic Cell,PLB1,2.65,NEW,TRUE,FALSE,FALSE,,
913,Dendritic Cell,PLCB2,1.65,KNOWN,FALSE,TRUE,FALSE,,
914,Dendritic Cell,PLCB4,1.4,NEW,TRUE,FALSE,FALSE,,
915,Dendritic Cell,PLD2,2.35,NEW,TRUE,TRUE,TRUE,,
916,Dendritic Cell,PLEKHA2,3.25,NEW,TRUE,FALSE,FALSE,,
917,Dendritic Cell,PLEKHO1,22.2,NEW,TRUE,FALSE,FALSE,,
918,Dendritic Cell,PLK2,1.5,NEW,TRUE,TRUE,TRUE,,
919,Dendritic Cell,PLK3,2.7,KNOWN,TRUE,TRUE,TRUE,,
920,Dendritic Cell,PLSCR1,58.3,KNOWN,TRUE,FALSE,FALSE,,
921,Dendritic Cell,PLSCR3,12.8,NEW,TRUE,FALSE,FALSE,,
922,Dendritic Cell,PLXNB2,8,KNOWN,TRUE,FALSE,FALSE,,
923,Dendritic Cell,PLXNC1,1.75,NEW,TRUE,FALSE,FALSE,,
924,Dendritic Cell,PMAIP1,9.9,NEW,TRUE,TRUE,TRUE,,
925,Dendritic Cell,PML,10.8,KNOWN,TRUE,TRUE,TRUE,,
926,Dendritic Cell,PMP22,15.4,NEW,FALSE,TRUE,FALSE,,
927,Dendritic Cell,PNKP,6.55,KNOWN,TRUE,FALSE,FALSE,,
928,Dendritic Cell,PNPLA8,18,NEW,TRUE,FALSE,FALSE,,
929,Dendritic Cell,POLA2,7.45,KNOWN,FALSE,TRUE,FALSE,,
930,Dendritic Cell,POLD4,125.7,KNOWN,FALSE,TRUE,FALSE,,
931,Dendritic Cell,PON2,18,NEW,TRUE,FALSE,FALSE,,
932,Dendritic Cell,POU2F1,2.5,KNOWN,TRUE,FALSE,FALSE,,
933,Dendritic Cell,POU2F2,10.7,KNOWN,TRUE,FALSE,FALSE,,
934,Dendritic Cell,PPARA,1.7,KNOWN,TRUE,TRUE,TRUE,,
935,Dendritic Cell,PPFIBP2,3.45,NEW,TRUE,FALSE,FALSE,,
936,Dendritic Cell,PPIA,1718.9,KNOWN,FALSE,TRUE,FALSE,,
937,Dendritic Cell,PPM1A,1.05,KNOWN,TRUE,TRUE,TRUE,,
938,Dendritic Cell,PPM1B,3.25,KNOWN,TRUE,TRUE,TRUE,,
939,Dendritic Cell,PPM1D,10.2,KNOWN,TRUE,TRUE,TRUE,,
940,Dendritic Cell,PPM1G,68.3,KNOWN,TRUE,FALSE,FALSE,,
941,Dendritic Cell,PPM1J,34.15,KNOWN,TRUE,FALSE,FALSE,,
942,Dendritic Cell,PPM1M,10.3,NEW,FALSE,TRUE,FALSE,,
943,Dendritic Cell,PPP1CA,526.05,KNOWN,TRUE,TRUE,TRUE,,
944,Dendritic Cell,PPP1CB,51.35,KNOWN,TRUE,TRUE,TRUE,,
945,Dendritic Cell,PPP1CC,20.15,KNOWN,TRUE,TRUE,TRUE,,
946,Dendritic Cell,PPP1R12A,34.2,NEW,FALSE,TRUE,FALSE,,
947,Dendritic Cell,PPP1R14A,103.5,NEW,FALSE,TRUE,FALSE,,
948,Dendritic Cell,PPP1R15A,68.8,NEW,TRUE,FALSE,FALSE,,
949,Dendritic Cell,PPP1R2,77.05,NEW,TRUE,FALSE,FALSE,,
950,Dendritic Cell,PPP1R9B,1.55,KNOWN,FALSE,TRUE,FALSE,,
951,Dendritic Cell,PPP2CA,52.95,KNOWN,TRUE,TRUE,TRUE,,
952,Dendritic Cell,PPP2CB,2.55,KNOWN,TRUE,TRUE,TRUE,,
953,Dendritic Cell,PPP2R1A,145.75,KNOWN,FALSE,TRUE,FALSE,,
954,Dendritic Cell,PPP2R2A,2.45,KNOWN,FALSE,TRUE,FALSE,,
955,Dendritic Cell,PPP2R5A,1.4,NEW,FALSE,TRUE,FALSE,,
956,Dendritic Cell,PPP2R5C,73,KNOWN,FALSE,TRUE,FALSE,,
957,Dendritic Cell,PPP2R5D,12.9,NEW,FALSE,TRUE,FALSE,,
958,Dendritic Cell,PPP3CA,36.2,KNOWN,TRUE,TRUE,TRUE,,
959,Dendritic Cell,PPP3CC,5.1,NEW,FALSE,TRUE,FALSE,,
960,Dendritic Cell,PPP4C,94.45,NEW,TRUE,FALSE,FALSE,,
961,Dendritic Cell,PPP5C,13.15,KNOWN,FALSE,TRUE,FALSE,,
962,Dendritic Cell,PPP6C,18.2,KNOWN,FALSE,TRUE,FALSE,,
963,Dendritic Cell,PRDX1,210.75,KNOWN,FALSE,TRUE,FALSE,,
964,Dendritic Cell,PREX1,1.4,NEW,TRUE,TRUE,TRUE,,
965,Dendritic Cell,PRKAA1,3.65,KNOWN,TRUE,TRUE,TRUE,,
966,Dendritic Cell,PRKAB1,23.3,KNOWN,TRUE,TRUE,TRUE,,
967,Dendritic Cell,PRKACA,1.1,NEW,TRUE,TRUE,TRUE,,
968,Dendritic Cell,PRKAG2,6.75,NEW,TRUE,FALSE,FALSE,,
969,Dendritic Cell,PRKAR1A,62.3,KNOWN,FALSE,TRUE,FALSE,,
970,Dendritic Cell,PRKAR1B,4.15,NEW,FALSE,TRUE,FALSE,,
971,Dendritic Cell,PRKAR2A,4.55,NEW,FALSE,TRUE,FALSE,,
972,Dendritic Cell,PRKCB,20.8,KNOWN,TRUE,TRUE,TRUE,,
973,Dendritic Cell,PRKCH,5.3,KNOWN,TRUE,FALSE,FALSE,,
974,Dendritic Cell,PRKRA,39.35,NEW,FALSE,TRUE,FALSE,,
