Table S2: IEI Candidate Genes with high (>.9) pLI Filter,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways
462,0.95577,PARD3,1.97E-14,0.044228,KNOWN,TRUE,TRUE,TRUE
463,0.99798,PAX5,5.23E-08,0.0020207,KNOWN,TRUE,FALSE,FALSE
464,0.99975,PAX6,6.55E-11,0.00025086,NEW,FALSE,TRUE,FALSE
465,0.99869,PAX8,3.69E-09,0.0013115,KNOWN,TRUE,FALSE,FALSE
466,0.99527,PBX1,1.71E-08,0.0047314,KNOWN,TRUE,FALSE,FALSE
467,0.99617,PCBP2,5.03E-08,0.0038279,NEW,FALSE,TRUE,FALSE
468,1,PCLO,1.79E-58,7.27E-20,NEW,TRUE,FALSE,FALSE
469,0.97606,PCNA,2.22E-05,0.023917,KNOWN,TRUE,TRUE,TRUE
470,0.99986,PDE10A,1.25E-13,0.0001372,NEW,TRUE,FALSE,FALSE
471,0.9998,PDE4D,1.50E-12,0.00019783,NEW,TRUE,TRUE,TRUE
472,0.99374,PDGFC,8.27E-07,0.0062592,NEW,TRUE,FALSE,FALSE
473,1,PDGFRA,5.14E-18,2.17E-06,KNOWN,FALSE,TRUE,FALSE
474,0.9041,PDGFRB,1.70E-11,0.095903,KNOWN,TRUE,TRUE,TRUE
475,0.99608,PDIA3,1.08E-08,0.0039222,KNOWN,FALSE,TRUE,FALSE
476,0.98013,PDPK1,2.84E-06,0.019863,KNOWN,TRUE,TRUE,TRUE
477,0.98471,PDZRN3,2.50E-09,0.015292,NEW,TRUE,FALSE,FALSE
478,1,PHF2,3.81E-17,4.94E-06,NEW,FALSE,TRUE,FALSE
479,0.99927,PHLPP1,1.23E-14,0.00072964,NEW,TRUE,TRUE,TRUE
480,0.99999,PIAS1,2.13E-13,1.24E-05,KNOWN,FALSE,TRUE,FALSE
481,0.98499,PIAS3,1.18E-08,0.015012,KNOWN,TRUE,FALSE,FALSE
482,0.99986,PIAS4,7.74E-11,0.00013938,KNOWN,FALSE,TRUE,FALSE
483,1,PIK3AP1,3.29E-15,4.31E-06,NEW,TRUE,TRUE,TRUE
484,0.99651,PIK3C2B,7.74E-18,0.0034897,NEW,FALSE,TRUE,FALSE
485,1,PIK3CA,6.01E-24,4.14E-09,KNOWN,FALSE,TRUE,FALSE
486,0.99964,PIK3CB,4.42E-16,0.00035929,KNOWN,FALSE,TRUE,FALSE
487,0.94801,PIM2,0.00015244,0.051838,NEW,TRUE,FALSE,FALSE
488,0.98192,PIM3,1.11E-05,0.018068,NEW,TRUE,FALSE,FALSE
489,0.97704,PIP5K1C,6.81E-09,0.022964,NEW,FALSE,TRUE,FALSE
490,1,PKD1,5.12E-41,7.62E-12,NEW,FALSE,TRUE,FALSE
491,1,PKN2,3.85E-18,1.00E-06,KNOWN,FALSE,TRUE,FALSE
492,0.9764,PLAGL1,2.14E-05,0.023577,NEW,TRUE,FALSE,FALSE
493,0.98337,PLCB1,8.65E-15,0.016633,NEW,TRUE,TRUE,TRUE
494,0.97851,PLK1,1.41E-07,0.021489,KNOWN,TRUE,TRUE,TRUE
495,0.9999,PLK2,1.36E-12,9.84E-05,NEW,TRUE,TRUE,TRUE
496,0.99951,PLXNA1,6.48E-20,0.00049062,NEW,TRUE,FALSE,FALSE
497,0.99234,PLXNB2,2.17E-18,0.0076633,KNOWN,TRUE,FALSE,FALSE
498,0.99811,PLXNC1,4.23E-17,0.0018884,NEW,TRUE,FALSE,FALSE
499,0.90958,PMP22,0.00061688,0.089803,NEW,FALSE,TRUE,FALSE
500,0.9998,POLR1A,1.52E-21,0.00020244,NEW,TRUE,FALSE,FALSE
501,0.90229,POU2F1,1.06E-08,0.097706,KNOWN,TRUE,FALSE,FALSE
502,0.99884,POU2F2,2.76E-09,0.0011637,KNOWN,TRUE,FALSE,FALSE
503,0.91964,POU4F3,0.0004569,0.079907,NEW,FALSE,TRUE,FALSE
504,1,PPFIA2,2.07E-25,3.85E-09,NEW,TRUE,FALSE,FALSE
505,0.99834,PPM1A,3.24E-08,0.0016611,KNOWN,TRUE,TRUE,TRUE
506,0.9604,PPM1G,1.30E-07,0.039604,KNOWN,TRUE,FALSE,FALSE
507,0.98588,PPP1CA,1.23E-06,0.014114,KNOWN,TRUE,TRUE,TRUE
508,0.99912,PPP1CB,6.96E-09,0.00088337,KNOWN,TRUE,TRUE,TRUE
509,0.95777,PPP1CC,3.73E-06,0.042226,KNOWN,TRUE,TRUE,TRUE
510,1,PPP1R12A,2.38E-21,4.82E-08,NEW,FALSE,TRUE,FALSE
511,0.99975,PPP1R9B,6.32E-11,0.00024712,KNOWN,FALSE,TRUE,FALSE
512,0.9893,PPP2CA,6.21E-07,0.010699,KNOWN,TRUE,TRUE,TRUE
513,0.98389,PPP2R1A,1.41E-08,0.016115,KNOWN,FALSE,TRUE,FALSE
514,0.99495,PPP2R2A,2.01E-08,0.0050526,KNOWN,FALSE,TRUE,FALSE
515,0.98467,PPP2R2B,3.04E-07,0.015327,KNOWN,FALSE,TRUE,FALSE
516,0.97071,PPP2R5C,1.24E-08,0.029287,KNOWN,FALSE,TRUE,FALSE
517,0.99993,PPP2R5D,6.33E-13,7.19E-05,NEW,FALSE,TRUE,FALSE
518,0.99988,PPP3CA,1.11E-11,0.00012117,KNOWN,TRUE,TRUE,TRUE
519,0.99938,PPP5C,1.22E-10,0.00062416,KNOWN,FALSE,TRUE,FALSE
520,0.9565,PRDM1,1.65E-07,0.043505,KNOWN,TRUE,FALSE,FALSE
521,0.99999,PRDM16,5.46E-16,1.48E-05,NEW,TRUE,FALSE,FALSE
522,1,PREX1,2.05E-31,3.56E-12,NEW,TRUE,TRUE,TRUE
523,0.97142,PRKACA,1.41E-06,0.028581,NEW,TRUE,TRUE,TRUE
524,0.99692,PRKAG2,1.21E-09,0.003077,NEW,TRUE,FALSE,FALSE
525,0.99985,PRKAR1A,8.98E-11,0.00014816,KNOWN,FALSE,TRUE,FALSE
526,0.99713,PRKAR2B,2.50E-08,0.0028738,KNOWN,TRUE,FALSE,FALSE
527,1,PRKCB,2.25E-15,1.91E-06,KNOWN,TRUE,TRUE,TRUE
528,0.99988,PRKCE,4.87E-13,0.00012449,KNOWN,TRUE,TRUE,TRUE
529,0.99995,PRKD2,6.35E-14,5.40E-05,KNOWN,FALSE,TRUE,FALSE
530,0.99938,PRKG1,4.98E-12,0.00062295,KNOWN,TRUE,TRUE,TRUE
531,0.98732,PRLR,3.86E-08,0.012683,KNOWN,FALSE,TRUE,FALSE
532,0.99999,PRMT5,6.21E-15,5.59E-06,KNOWN,FALSE,TRUE,FALSE
533,0.99884,PROX1,5.53E-10,0.0011596,KNOWN,FALSE,TRUE,FALSE
534,1,PRPF4B,6.90E-18,2.45E-06,KNOWN,FALSE,TRUE,FALSE
535,0.97322,PSEN1,2.43E-07,0.026779,KNOWN,FALSE,TRUE,FALSE
536,1,PSMD1,9.07E-20,1.12E-07,KNOWN,TRUE,FALSE,FALSE
537,0.99597,PTGS2,2.34E-09,0.0040321,KNOWN,TRUE,TRUE,TRUE
538,0.99987,PTK2,6.86E-18,0.0001252,KNOWN,TRUE,TRUE,TRUE
539,0.93536,PTK2B,2.54E-13,0.064643,KNOWN,TRUE,TRUE,TRUE
540,0.99721,PTK7,3.23E-13,0.0027887,NEW,FALSE,TRUE,FALSE
541,0.96626,PTP4A2,5.19E-05,0.03369,NEW,TRUE,FALSE,FALSE
542,0.99998,PTPN11,1.08E-13,1.81E-05,KNOWN,TRUE,TRUE,TRUE
543,0.99996,PTPN12,3.43E-14,4.19E-05,KNOWN,TRUE,TRUE,TRUE
544,0.99953,PTPN2,3.03E-10,0.00047026,KNOWN,TRUE,TRUE,TRUE
545,0.99999,PTPN6,5.81E-14,1.40E-05,KNOWN,TRUE,TRUE,TRUE
546,0.99998,PTPRA,1.62E-15,2.30E-05,KNOWN,TRUE,TRUE,TRUE
547,1,PTPRD,7.41E-33,3.38E-12,KNOWN,TRUE,FALSE,FALSE
548,1,PTPRF,3.07E-26,4.68E-08,NEW,TRUE,TRUE,TRUE
549,0.99998,PTPRM,3.16E-21,1.98E-05,KNOWN,TRUE,FALSE,FALSE
550,0.94029,PURA,0.00021576,0.059497,KNOWN,TRUE,FALSE,FALSE
551,0.98674,RAB3GAP2,4.11E-17,0.013261,NEW,TRUE,FALSE,FALSE
552,0.97576,RAN,2.29E-05,0.024215,KNOWN,FALSE,TRUE,FALSE
553,0.90995,RAP1B,0.00012515,0.089923,NEW,FALSE,TRUE,FALSE
554,0.96928,RAP1GAP2,5.74E-10,0.030724,NEW,TRUE,FALSE,FALSE
555,0.99995,RAPGEF1,7.25E-17,4.61E-05,KNOWN,TRUE,TRUE,TRUE
556,1,RAPGEF2,2.31E-21,1.27E-06,NEW,TRUE,FALSE,FALSE
557,0.99218,RAPGEF4,6.71E-15,0.0078189,NEW,TRUE,FALSE,FALSE
558,0.98099,RAPGEF5,3.54E-11,0.01901,NEW,TRUE,FALSE,FALSE
559,0.96305,RARA,2.67E-06,0.036945,KNOWN,TRUE,TRUE,TRUE
560,0.99478,RARG,1.07E-07,0.0052163,KNOWN,FALSE,TRUE,FALSE
561,1,RASA1,1.86E-21,4.36E-08,KNOWN,FALSE,TRUE,FALSE
562,0.92073,RASGEF1B,1.52E-07,0.079272,NEW,TRUE,FALSE,FALSE
563,0.99999,RASGRF1,1.24E-18,8.66E-06,NEW,FALSE,TRUE,FALSE
564,1,RB1,4.05E-22,2.33E-08,KNOWN,TRUE,TRUE,TRUE
565,1,RB1CC1,8.03E-26,2.61E-09,KNOWN,FALSE,TRUE,FALSE
566,0.99785,RBFOX3,6.11E-08,0.0021537,NEW,TRUE,FALSE,FALSE
567,0.98493,RBM47,2.92E-07,0.015073,NEW,TRUE,FALSE,FALSE
568,0.99853,RBPJ,1.99E-10,0.0014688,KNOWN,TRUE,TRUE,TRUE
569,0.97173,RBPMS,3.35E-05,0.028239,NEW,TRUE,FALSE,FALSE
570,0.94689,RBX1,0.00016082,0.052953,KNOWN,FALSE,TRUE,FALSE
571,0.95567,RCC2,1.73E-07,0.044332,NEW,TRUE,FALSE,FALSE
572,1,RELN,5.63E-50,4.25E-14,KNOWN,TRUE,FALSE,FALSE
573,1,RERE,2.68E-23,7.65E-09,NEW,TRUE,FALSE,FALSE
574,1,RET,5.51E-19,2.34E-07,KNOWN,FALSE,TRUE,FALSE
575,1,REV3L,1.34E-44,7.05E-16,KNOWN,TRUE,FALSE,FALSE
576,1,RFX3,6.59E-18,3.36E-07,NEW,TRUE,FALSE,FALSE
577,0.96134,RGS19,7.28E-05,0.038583,NEW,FALSE,TRUE,FALSE
578,0.98119,RHEB,1.23E-05,0.018795,KNOWN,FALSE,TRUE,FALSE
579,1,RICTOR,2.25E-31,1.89E-10,KNOWN,FALSE,TRUE,FALSE
580,0.9902,RIMS1,1.62E-19,0.0097979,KNOWN,TRUE,TRUE,TRUE
581,0.99943,RNF8,4.79E-10,0.00056748,KNOWN,FALSE,TRUE,FALSE
582,1,ROCK1,1.39E-24,2.24E-07,KNOWN,TRUE,TRUE,TRUE
583,1,ROCK2,9.75E-23,2.47E-06,KNOWN,FALSE,TRUE,FALSE
584,0.99645,ROR1,3.46E-10,0.0035482,NEW,TRUE,TRUE,TRUE
585,0.90915,RPL10,0.00062447,0.09023,NEW,FALSE,TRUE,FALSE
586,0.95062,RPL13,0.00013399,0.049244,NEW,FALSE,TRUE,FALSE
587,0.92111,RPS19,0.00043598,0.078457,KNOWN,TRUE,FALSE,FALSE
588,0.91944,RPS27A,0.00045978,0.080103,NEW,FALSE,TRUE,FALSE
589,0.92,RPS3,9.24E-05,0.079904,KNOWN,TRUE,FALSE,FALSE
590,0.9759,RPS6,2.26E-05,0.024073,KNOWN,FALSE,TRUE,FALSE
591,0.99999,RPS6KA3,2.45E-14,5.10E-06,KNOWN,TRUE,TRUE,TRUE
592,0.99715,RPS6KA4,4.12E-11,0.0028531,NEW,TRUE,TRUE,TRUE
593,0.99909,RPS6KA5,1.26E-11,0.00091306,KNOWN,TRUE,TRUE,TRUE
594,0.97285,RPS6KB1,1.03E-08,0.027148,KNOWN,FALSE,TRUE,FALSE
595,1,RPTOR,4.41E-28,8.31E-11,KNOWN,TRUE,TRUE,TRUE
596,0.97463,RRAS2,2.56E-05,0.025341,KNOWN,FALSE,TRUE,FALSE
597,1,RREB1,2.59E-17,2.19E-06,NEW,TRUE,FALSE,FALSE
598,1,RRM1,4.49E-18,2.87E-07,KNOWN,TRUE,FALSE,FALSE
599,1,RSF1,1.14E-27,1.72E-11,KNOWN,FALSE,TRUE,FALSE
600,0.94884,RUNX2,1.22E-06,0.05116,KNOWN,FALSE,TRUE,FALSE
601,0.99902,RUVBL1,1.82E-09,0.00098216,KNOWN,FALSE,TRUE,FALSE
602,0.99852,RXRA,2.46E-08,0.0014818,KNOWN,FALSE,TRUE,FALSE
603,0.98922,RYK,2.59E-08,0.010778,NEW,FALSE,TRUE,FALSE
604,0.99999,RYR2,1.50E-48,8.05E-06,KNOWN,TRUE,FALSE,FALSE
605,0.99958,SAMD4A,9.49E-12,0.00042136,NEW,TRUE,FALSE,FALSE
606,1,SCAF11,7.53E-19,3.67E-06,NEW,FALSE,TRUE,FALSE
607,0.98715,SCHIP1,4.81E-06,0.012848,NEW,TRUE,FALSE,FALSE
608,0.97472,SEMA4D,1.75E-09,0.025282,KNOWN,TRUE,FALSE,FALSE
609,0.99976,SEMA6A,5.07E-13,0.00024383,NEW,TRUE,FALSE,FALSE
610,0.99579,SEPT9,1.29E-08,0.0042113,NEW,TRUE,FALSE,FALSE
611,0.99999,SFSWAP,5.68E-16,7.78E-06,NEW,TRUE,FALSE,FALSE
612,0.94507,SGMS1,1.46E-06,0.054927,NEW,TRUE,FALSE,FALSE
613,0.96861,SH2B1,7.30E-08,0.031394,KNOWN,FALSE,TRUE,FALSE
614,0.96874,SHB,1.77E-06,0.031262,KNOWN,FALSE,TRUE,FALSE
615,0.98258,SHH,1.02E-05,0.017413,KNOWN,FALSE,TRUE,FALSE
616,0.93716,SIK1,8.40E-08,0.062841,KNOWN,FALSE,TRUE,FALSE
617,0.99651,SIK2,2.75E-12,0.0034864,KNOWN,FALSE,TRUE,FALSE
618,1,SIK3,1.29E-21,3.76E-08,KNOWN,TRUE,FALSE,FALSE
619,1,SIPA1L1,1.32E-24,3.06E-08,NEW,TRUE,FALSE,FALSE
620,0.99215,SIPA1L2,2.77E-16,0.0078471,NEW,TRUE,FALSE,FALSE
621,0.99901,SKI,1.84E-09,0.00098548,KNOWN,TRUE,FALSE,FALSE
622,0.96042,SKP2,6.42E-07,0.039578,KNOWN,FALSE,TRUE,FALSE
623,0.98914,SLC1A3,1.31E-07,0.010863,NEW,TRUE,FALSE,FALSE
624,0.9941,SLC2A1,1.45E-07,0.0059044,KNOWN,TRUE,TRUE,TRUE
625,0.98987,SLC6A6,4.50E-09,0.010129,NEW,TRUE,FALSE,FALSE
626,0.9957,SLC8A1,5.55E-10,0.004304,NEW,TRUE,FALSE,FALSE
627,0.98803,SMAD1,8.18E-07,0.011968,KNOWN,TRUE,FALSE,FALSE
628,0.99661,SMAD2,1.53E-09,0.0033892,KNOWN,FALSE,TRUE,FALSE
629,0.99881,SMAD4,5.90E-10,0.0011907,KNOWN,TRUE,TRUE,TRUE
630,1,SMARCA4,1.04E-33,1.10E-13,KNOWN,TRUE,TRUE,TRUE
631,1,SMC1A,7.46E-20,2.77E-08,KNOWN,TRUE,FALSE,FALSE
632,1,SMC3,2.79E-32,2.19E-13,KNOWN,TRUE,FALSE,FALSE
633,1,SMG1,7.71E-65,1.30E-25,KNOWN,TRUE,FALSE,FALSE
634,0.98164,SMG6,5.45E-14,0.018361,NEW,TRUE,FALSE,FALSE
635,0.98213,SND1,1.25E-12,0.01787,KNOWN,TRUE,FALSE,FALSE
636,0.99961,SNRK,9.25E-10,0.00038586,NEW,FALSE,TRUE,FALSE
637,0.98865,SOCS6,3.55E-06,0.011348,KNOWN,TRUE,TRUE,TRUE
638,0.99807,SOCS7,1.92E-09,0.00193,NEW,TRUE,TRUE,TRUE
639,1,SOS1,3.17E-25,4.59E-09,KNOWN,FALSE,TRUE,FALSE
640,0.99984,SOX6,1.73E-13,0.00015679,KNOWN,TRUE,FALSE,FALSE
641,0.99772,SOX9,7.01E-08,0.0022783,NEW,TRUE,FALSE,FALSE
642,0.99997,SP1,1.21E-12,2.53E-05,KNOWN,TRUE,TRUE,TRUE
643,0.99721,SP2,2.34E-08,0.0027948,NEW,TRUE,FALSE,FALSE
644,0.99995,SP3,1.31E-12,5.04E-05,KNOWN,TRUE,TRUE,TRUE
645,1,SPAG9,7.51E-25,6.54E-09,KNOWN,FALSE,TRUE,FALSE
646,0.98206,SPI1,1.09E-05,0.017927,KNOWN,TRUE,TRUE,TRUE
647,0.91231,SPIB,0.0001169,0.087573,NEW,TRUE,FALSE,FALSE
648,1,SPTBN1,8.32E-43,2.78E-16,KNOWN,TRUE,FALSE,FALSE
649,0.99691,SRC,6.02E-09,0.003086,KNOWN,TRUE,TRUE,TRUE
650,0.97545,SRF,4.79E-06,0.024544,KNOWN,TRUE,TRUE,TRUE
651,0.99777,SSBP2,2.74E-09,0.002235,NEW,TRUE,FALSE,FALSE
652,0.99968,SSBP3,2.42E-11,0.00032098,NEW,TRUE,FALSE,FALSE
653,0.9417,ST3GAL2,8.39E-06,0.058293,NEW,TRUE,FALSE,FALSE
654,0.99703,ST7,2.25E-10,0.0029717,NEW,TRUE,FALSE,FALSE
655,1,STAG1,5.45E-27,4.49E-10,NEW,TRUE,FALSE,FALSE
656,0.99994,STAT5A,1.40E-14,5.59E-05,KNOWN,TRUE,TRUE,TRUE
657,0.98849,STAT6,1.03E-11,0.011514,KNOWN,TRUE,TRUE,TRUE
658,0.9934,STK11,1.90E-07,0.0065964,KNOWN,TRUE,TRUE,TRUE
659,0.99916,STK39,5.09E-11,0.00083922,NEW,TRUE,TRUE,TRUE
660,0.99624,STK40,4.83E-08,0.0037631,NEW,TRUE,FALSE,FALSE
661,0.9785,STX1A,3.45E-06,0.021496,KNOWN,FALSE,TRUE,FALSE
662,1,STXBP1,1.52E-14,4.19E-06,KNOWN,FALSE,TRUE,FALSE
663,0.99956,STXBP5,1.48E-16,0.0004414,NEW,TRUE,FALSE,FALSE
664,0.99986,SYK,3.15E-12,0.00013905,KNOWN,TRUE,TRUE,TRUE
665,0.99998,TAB2,7.28E-13,2.05E-05,KNOWN,TRUE,TRUE,TRUE
666,1,TAF1,4.29E-28,1.15E-11,KNOWN,TRUE,TRUE,TRUE
