Table S2: IEI Candidate Genes with high (>.9) pLI Filter,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways
758,1,ZFPM2,7.04E-16,4.41E-06,KNOWN,TRUE,FALSE,FALSE
759,0.90244,ZFYVE9,1.78E-11,0.097557,KNOWN,FALSE,TRUE,FALSE
760,0.99937,ZMIZ1,4.30E-14,0.0006336,NEW,TRUE,FALSE,FALSE
761,1,ZMYND8,4.19E-21,6.08E-08,NEW,TRUE,FALSE,FALSE
762,0.99997,ZNF148,2.52E-12,3.42E-05,KNOWN,TRUE,FALSE,FALSE
763,0.97927,ZNF331,3.16E-06,0.020727,NEW,TRUE,FALSE,FALSE
764,0.90568,ZNF367,0.00014104,0.094182,NEW,TRUE,FALSE,FALSE
765,1,ZNF407,8.80E-26,3.79E-10,NEW,TRUE,FALSE,FALSE
766,0.99624,ZNF496,9.72E-09,0.0037566,KNOWN,TRUE,FALSE,FALSE
767,0.99999,ZNF608,2.90E-16,5.91E-06,NEW,TRUE,FALSE,FALSE
768,0.99998,ZNF777,4.33E-13,1.66E-05,NEW,TRUE,FALSE,FALSE
769,0.90588,ZNRF1,0.00068339,0.093435,NEW,TRUE,FALSE,FALSE
770,1,ZSWIM6,2.38E-18,1.15E-07,NEW,TRUE,FALSE,FALSE
38,NA,AFDN,NA,NA,NEW,FALSE,TRUE,FALSE
201,NA,BIRC8,NA,NA,NEW,TRUE,FALSE,FALSE
256,NA,CASP8AP2,NA,NA,KNOWN,FALSE,TRUE,FALSE
379,NA,CEMIP2,NA,NA,NEW,TRUE,FALSE,FALSE
382,NA,CFAP46,NA,NA,NEW,TRUE,FALSE,FALSE
426,NA,COP1,NA,NA,NEW,TRUE,TRUE,TRUE
487,NA,CXCL8,NA,NA,NEW,TRUE,TRUE,TRUE
537,NA,DIPK2B,NA,NA,NEW,TRUE,FALSE,FALSE
642,NA,ELP1,NA,NA,NEW,FALSE,TRUE,FALSE
675,NA,ERBIN,NA,NA,NEW,FALSE,TRUE,FALSE
804,NA,FYB1,NA,NA,NEW,TRUE,FALSE,FALSE
891,NA,GRK2,NA,NA,NEW,TRUE,TRUE,TRUE
955,NA,HLA-DRB4,NA,NA,KNOWN,TRUE,FALSE,FALSE
1014,NA,IFNA1,NA,NA,KNOWN,TRUE,TRUE,TRUE
1015,NA,IFNA2,NA,NA,KNOWN,TRUE,FALSE,FALSE
1016,NA,IFNB1,NA,NA,KNOWN,TRUE,TRUE,TRUE
1150,NA,KMT5A,NA,NA,NEW,FALSE,TRUE,FALSE
