Table S7: IEI Candidate Genes with Average in NK Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
201,NK cell,CDC20,11.1,KNOWN,FALSE,TRUE,FALSE,,
202,NK cell,CDC25B,18.6,KNOWN,FALSE,TRUE,FALSE,,
203,NK cell,CDC34,1.2,KNOWN,FALSE,TRUE,FALSE,,
204,NK cell,CDC37,106.4,KNOWN,FALSE,TRUE,FALSE,,
205,NK cell,CDC42,145.4,KNOWN,FALSE,TRUE,FALSE,,
206,NK cell,CDC42EP3,41.8,NEW,TRUE,FALSE,FALSE,,
207,NK cell,CDC42SE2,124.3,KNOWN,TRUE,FALSE,FALSE,,
208,NK cell,CDC6,1.1,KNOWN,FALSE,TRUE,FALSE,,
209,NK cell,CDC7,1.8,KNOWN,TRUE,TRUE,TRUE,,
210,NK cell,CDK1,3.8,KNOWN,TRUE,TRUE,TRUE,,
211,NK cell,CDK11B,5.3,KNOWN,FALSE,TRUE,FALSE,,
212,NK cell,CDK12,5.9,NEW,FALSE,TRUE,FALSE,,
213,NK cell,CDK16,6,NEW,FALSE,TRUE,FALSE,,
214,NK cell,CDK2,3.9,KNOWN,TRUE,TRUE,TRUE,,
215,NK cell,CDK4,52,KNOWN,TRUE,TRUE,TRUE,,
216,NK cell,CDK5,18.9,KNOWN,TRUE,TRUE,TRUE,,
217,NK cell,CDK5RAP2,4.3,NEW,TRUE,FALSE,FALSE,,
218,NK cell,CDK6,2.2,KNOWN,TRUE,TRUE,TRUE,,
219,NK cell,CDK7,15.1,KNOWN,TRUE,TRUE,TRUE,,
220,NK cell,CDK9,23.5,KNOWN,TRUE,TRUE,TRUE,,
221,NK cell,CDKAL1,12.2,NEW,TRUE,FALSE,FALSE,,
222,NK cell,CDKN1B,8,KNOWN,TRUE,TRUE,TRUE,,
223,NK cell,CDKN2C,7.9,NEW,TRUE,TRUE,TRUE,,
224,NK cell,CDKN3,7.1,KNOWN,FALSE,TRUE,FALSE,,
225,NK cell,CDYL,1.9,NEW,TRUE,FALSE,FALSE,,
226,NK cell,CEBPD,2.2,NEW,TRUE,FALSE,FALSE,,
227,NK cell,CELF1,8.3,NEW,TRUE,FALSE,FALSE,,
228,NK cell,CEP85L,7.8,NEW,TRUE,FALSE,FALSE,,
229,NK cell,CFL1,1927.8,KNOWN,FALSE,TRUE,FALSE,,
230,NK cell,CFLAR,48.9,KNOWN,TRUE,TRUE,TRUE,,
231,NK cell,CHD2,22.1,NEW,TRUE,FALSE,FALSE,,
232,NK cell,CHD9,40.7,KNOWN,TRUE,FALSE,FALSE,,
233,NK cell,CHEK2,3.2,KNOWN,TRUE,TRUE,TRUE,,
234,NK cell,CHKA,1.2,NEW,FALSE,TRUE,FALSE,,
235,NK cell,CHMP4C,2.2,NEW,TRUE,FALSE,FALSE,,
236,NK cell,CHN2,12.3,NEW,TRUE,TRUE,TRUE,,
237,NK cell,CHUK,1.8,KNOWN,TRUE,TRUE,TRUE,,
238,NK cell,CISH,2.3,KNOWN,TRUE,FALSE,FALSE,,
239,NK cell,CKS1B,30.3,KNOWN,FALSE,TRUE,FALSE,,
240,NK cell,CLC,2.7,NEW,TRUE,FALSE,FALSE,,
241,NK cell,CLEC16A,1.9,NEW,TRUE,FALSE,FALSE,,
242,NK cell,CLIC2,2.4,NEW,TRUE,FALSE,FALSE,,
243,NK cell,CMTM7,23.1,NEW,TRUE,FALSE,FALSE,,
244,NK cell,CMTR1,5.7,NEW,TRUE,FALSE,FALSE,,
245,NK cell,COPS5,46.9,NEW,TRUE,TRUE,TRUE,,
246,NK cell,COPS6,168.3,NEW,FALSE,TRUE,FALSE,,
247,NK cell,CPQ,29,NEW,TRUE,FALSE,FALSE,,
248,NK cell,CRADD,21.5,KNOWN,TRUE,FALSE,FALSE,,
249,NK cell,CREB1,52.6,KNOWN,TRUE,TRUE,TRUE,,
250,NK cell,CREBBP,1.5,KNOWN,TRUE,TRUE,TRUE,,
251,NK cell,CREM,10.5,KNOWN,TRUE,FALSE,FALSE,,
252,NK cell,CRK,3.1,KNOWN,FALSE,TRUE,FALSE,,
253,NK cell,CRKL,13.8,KNOWN,FALSE,TRUE,FALSE,,
254,NK cell,CSF2,7.1,KNOWN,TRUE,TRUE,TRUE,,
255,NK cell,CSGALNACT1,8.6,NEW,TRUE,FALSE,FALSE,,
256,NK cell,CSK,61.9,KNOWN,FALSE,TRUE,FALSE,,
257,NK cell,CSNK1A1,72.6,KNOWN,TRUE,TRUE,TRUE,,
258,NK cell,CSNK1D,17.3,KNOWN,TRUE,TRUE,TRUE,,
259,NK cell,CSNK1E,6.6,KNOWN,TRUE,TRUE,TRUE,,
260,NK cell,CSNK2A1,26.5,NEW,TRUE,TRUE,TRUE,,
261,NK cell,CSNK2A2,15.3,KNOWN,TRUE,TRUE,TRUE,,
262,NK cell,CSNK2B,18.7,KNOWN,TRUE,TRUE,TRUE,,
263,NK cell,CSRP1,32,NEW,TRUE,FALSE,FALSE,,
264,NK cell,CTBP1,25.2,KNOWN,FALSE,TRUE,FALSE,,
265,NK cell,CTCF,3.8,KNOWN,TRUE,FALSE,FALSE,,
266,NK cell,CTNNB1,11.1,KNOWN,TRUE,TRUE,TRUE,,
267,NK cell,CTSB,76.3,KNOWN,TRUE,FALSE,FALSE,,
268,NK cell,CTSD,198.3,KNOWN,TRUE,TRUE,TRUE,,
269,NK cell,CTSG,6.4,NEW,TRUE,TRUE,TRUE,,
270,NK cell,CTSH,6.3,NEW,TRUE,FALSE,FALSE,,
271,NK cell,CUL1,39,KNOWN,FALSE,TRUE,FALSE,,
272,NK cell,CUX1,5.2,KNOWN,TRUE,FALSE,FALSE,,
273,NK cell,CYLD,28.5,KNOWN,TRUE,TRUE,TRUE,,
274,NK cell,CYTH1,64.1,NEW,TRUE,FALSE,FALSE,,
275,NK cell,CYTH4,45.5,NEW,TRUE,FALSE,FALSE,,
276,NK cell,DAAM1,9.5,NEW,TRUE,FALSE,FALSE,,
277,NK cell,DAB2,1.9,KNOWN,TRUE,TRUE,TRUE,,
278,NK cell,DAP3,141.2,KNOWN,TRUE,FALSE,FALSE,,
279,NK cell,DAPK2,3.2,NEW,FALSE,TRUE,FALSE,,
280,NK cell,DAPK3,25.1,NEW,TRUE,TRUE,TRUE,,
281,NK cell,DAPP1,31.8,KNOWN,TRUE,TRUE,TRUE,,
282,NK cell,DAXX,24.8,KNOWN,TRUE,TRUE,TRUE,,
283,NK cell,DBI,470.9,NEW,TRUE,FALSE,FALSE,,
284,NK cell,DBNL,203.8,KNOWN,TRUE,TRUE,TRUE,,
