Table S1: IEI Candidate Genes without Filter,X1,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways,,
1957,152,0.98939,ATP13A1,3.46E-13,0.01061,NEW,TRUE,FALSE,FALSE,,
1958,762,0.9894,FLI1,1.23E-07,0.010596,KNOWN,TRUE,TRUE,TRUE,,
1959,2363,0.98942,UVRAG,1.01E-09,0.010582,NEW,TRUE,FALSE,FALSE,,
1960,83,0.98961,ANP32A,2.85E-06,0.010384,KNOWN,TRUE,FALSE,FALSE,,
1961,2191,0.98964,TFAP2A,5.74E-07,0.010358,KNOWN,TRUE,FALSE,FALSE,,
1962,1478,0.98972,NR2F2,2.78E-06,0.010278,KNOWN,FALSE,TRUE,FALSE,,
1963,1104,0.98975,KAT2B,7.78E-12,0.010254,KNOWN,TRUE,TRUE,TRUE,,
1964,906,0.98982,GTF2H1,4.56E-09,0.01018,KNOWN,FALSE,TRUE,FALSE,,
1965,2027,0.98987,SLC6A6,4.50E-09,0.010129,NEW,TRUE,FALSE,FALSE,,
1966,1876,0.9902,RIMS1,1.62E-19,0.0097979,KNOWN,TRUE,TRUE,TRUE,,
1967,684,0.99027,ERN1,6.84E-12,0.009732,KNOWN,TRUE,TRUE,TRUE,,
1968,1068,0.99032,IRS2,1.99E-08,0.0096801,KNOWN,FALSE,TRUE,FALSE,,
1969,131,0.99065,ARID3A,9.03E-08,0.0093488,NEW,TRUE,TRUE,TRUE,,
1970,1064,0.9909,IRF1,4.18E-07,0.009099,KNOWN,TRUE,TRUE,TRUE,,
1971,144,0.99131,ATF2,1.53E-08,0.0086885,NEW,TRUE,TRUE,TRUE,,
1972,847,0.99132,GMDS,7.53E-08,0.0086776,NEW,TRUE,FALSE,FALSE,,
1973,347,0.99171,CDH2,1.13E-10,0.0082875,KNOWN,FALSE,TRUE,FALSE,,
1974,441,0.99173,CRMP1,1.36E-08,0.0082735,NEW,TRUE,FALSE,FALSE,,
1975,350,0.99206,CDK1,1.48E-06,0.007941,KNOWN,TRUE,TRUE,TRUE,,
1976,2004,0.99215,SIPA1L2,2.77E-16,0.0078471,NEW,TRUE,FALSE,FALSE,,
1977,1822,0.99218,RAPGEF4,6.71E-15,0.0078189,NEW,TRUE,FALSE,FALSE,,
1978,2224,0.99231,TLN2,1.24E-24,0.0076917,NEW,TRUE,FALSE,FALSE,,
1979,1660,0.99234,PLXNB2,2.17E-18,0.0076633,KNOWN,TRUE,FALSE,FALSE,,
1980,2189,0.99237,TERF2,5.49E-08,0.0076268,KNOWN,FALSE,TRUE,FALSE,,
1981,410,0.99252,CMTR1,3.60E-12,0.0074848,NEW,TRUE,FALSE,FALSE,,
1982,2352,0.99253,USF2,2.58E-07,0.0074694,NEW,TRUE,FALSE,FALSE,,
1983,2190,0.99255,TESK1,1.05E-08,0.0074464,NEW,FALSE,TRUE,FALSE,,
1984,992,0.99257,HSPD1,5.15E-08,0.0074325,KNOWN,FALSE,TRUE,FALSE,,
1985,507,0.99296,DBF4,1.85E-09,0.0070405,KNOWN,TRUE,TRUE,TRUE,,
1986,338,0.99309,CDC42BPA,3.40E-19,0.0069056,NEW,TRUE,TRUE,TRUE,,
1987,598,0.99317,E2F7,3.48E-10,0.0068333,NEW,TRUE,FALSE,FALSE,,
1988,655,0.99318,EPB41L2,2.87E-12,0.0068228,NEW,TRUE,FALSE,FALSE,,
1989,2345,0.99318,ULK1,2.87E-12,0.0068229,KNOWN,FALSE,TRUE,FALSE,,
1990,2123,0.9934,STK11,1.90E-07,0.0065964,KNOWN,TRUE,TRUE,TRUE,,
1991,2182,0.99362,TEAD3,3.55E-08,0.0063792,KNOWN,FALSE,TRUE,FALSE,,
1992,133,0.99374,ARIH2,2.80E-10,0.006259,KNOWN,FALSE,TRUE,FALSE,,
1993,1566,0.99374,PDGFC,8.27E-07,0.0062592,NEW,TRUE,FALSE,FALSE,,
1994,563,0.99375,DPYSL2,6.83E-09,0.0062522,NEW,TRUE,FALSE,FALSE,,
1995,2432,0.99376,ZCCHC2,5.63E-11,0.0062391,NEW,TRUE,FALSE,FALSE,,
1996,2426,0.9938,YY1,8.07E-07,0.0061988,KNOWN,TRUE,TRUE,TRUE,,
1997,171,0.99388,BANP,6.48E-09,0.0061187,KNOWN,TRUE,FALSE,FALSE,,
1998,542,0.99393,DLG1,8.82E-14,0.0060693,KNOWN,TRUE,TRUE,TRUE,,
1999,135,0.99394,ARRB1,3.13E-08,0.0060619,KNOWN,FALSE,TRUE,FALSE,,
2000,1489,0.99394,NRIP1,1.28E-09,0.0060618,KNOWN,FALSE,TRUE,FALSE,,
2001,397,0.99403,CHUK,1.02E-11,0.0059748,KNOWN,TRUE,TRUE,TRUE,,
2002,805,0.99406,FYN,1.22E-09,0.0059367,KNOWN,TRUE,TRUE,TRUE,,
2003,2021,0.9941,SLC2A1,1.45E-07,0.0059044,KNOWN,TRUE,TRUE,TRUE,,
2004,2354,0.99411,USP10,2.41E-10,0.0058875,NEW,TRUE,FALSE,FALSE,,
2005,1335,0.99421,MKRN1,2.80E-08,0.0057926,NEW,FALSE,TRUE,FALSE,,
2006,1125,0.99423,KHDRBS1,1.37E-07,0.0057738,KNOWN,FALSE,TRUE,FALSE,,
2007,134,0.99444,ARNTL,1.04E-09,0.0055556,NEW,FALSE,TRUE,FALSE,,
2008,194,0.99444,BHLHE40,6.18E-07,0.0055552,KNOWN,TRUE,FALSE,FALSE,,
2009,510,0.99448,DCC,2.37E-17,0.0055201,KNOWN,TRUE,FALSE,FALSE,,
2010,1256,0.99469,MAP4K5,1.55E-12,0.0053087,KNOWN,FALSE,TRUE,FALSE,,
2011,1179,0.99475,LEPR,3.06E-13,0.0052486,KNOWN,FALSE,TRUE,FALSE,,
2012,1363,0.99478,MSI2,1.08E-07,0.0052238,NEW,TRUE,FALSE,FALSE,,
2013,1825,0.99478,RARG,1.07E-07,0.0052163,KNOWN,FALSE,TRUE,FALSE,,
2014,354,0.9948,CDK16,2.15E-08,0.0051985,NEW,FALSE,TRUE,FALSE,,
2015,1701,0.99495,PPP2R2A,2.01E-08,0.0050526,KNOWN,FALSE,TRUE,FALSE,,
2016,373,0.99504,CDYL,9.48E-08,0.0049607,NEW,TRUE,FALSE,FALSE,,
2017,1339,0.99522,MMP14,3.54E-09,0.0047784,KNOWN,TRUE,TRUE,TRUE,,
2018,1552,0.99527,PBX1,1.71E-08,0.0047314,KNOWN,TRUE,FALSE,FALSE,,
2019,2177,0.99537,TCF7L2,6.63E-10,0.0046282,KNOWN,TRUE,FALSE,FALSE,,
2020,1199,0.99552,LRCH1,2.51E-11,0.0044802,NEW,TRUE,FALSE,FALSE,,
2021,1239,0.99552,MAP2K7,7.37E-08,0.0044754,KNOWN,TRUE,TRUE,TRUE,,
2022,2028,0.9957,SLC8A1,5.55E-10,0.004304,NEW,TRUE,FALSE,FALSE,,
2023,456,0.99577,CSNK1D,6.44E-08,0.0042344,KNOWN,TRUE,TRUE,TRUE,,
2024,1967,0.99579,SEPT9,1.29E-08,0.0042113,NEW,TRUE,FALSE,FALSE,,
2025,907,0.99592,GTF2I,4.87E-10,0.0040811,KNOWN,TRUE,TRUE,TRUE,,
2026,1759,0.99597,PTGS2,2.34E-09,0.0040321,KNOWN,TRUE,TRUE,TRUE,,
2027,781,0.99598,FOXJ3,4.69E-10,0.0040168,NEW,TRUE,FALSE,FALSE,,
2028,1569,0.99608,PDIA3,1.08E-08,0.0039222,KNOWN,FALSE,TRUE,FALSE,,
2029,29,0.9961,ADD2,8.84E-11,0.0039024,KNOWN,TRUE,FALSE,FALSE,,
2030,1553,0.99617,PCBP2,5.03E-08,0.0038279,NEW,FALSE,TRUE,FALSE,,
2031,2129,0.99624,STK40,4.83E-08,0.0037631,NEW,TRUE,FALSE,FALSE,,
2032,2494,0.99624,ZNF496,9.72E-09,0.0037566,KNOWN,TRUE,FALSE,FALSE,,
2033,445,0.99634,CSF1,4.51E-08,0.0036608,KNOWN,TRUE,TRUE,TRUE,,
2034,2171,0.99636,TBX21,4.46E-08,0.0036418,NEW,TRUE,FALSE,FALSE,,
2035,1894,0.99645,ROR1,3.46E-10,0.0035482,NEW,TRUE,TRUE,TRUE,,
2036,2406,0.99648,WT1,8.30E-09,0.0035204,NEW,TRUE,TRUE,TRUE,,
2037,1609,0.99651,PIK3C2B,7.74E-18,0.0034897,NEW,FALSE,TRUE,FALSE,,
2038,2000,0.99651,SIK2,2.75E-12,0.0034864,KNOWN,FALSE,TRUE,FALSE,,
2039,114,0.99661,ARHGAP26,2.56E-12,0.0033878,NEW,TRUE,FALSE,FALSE,,
2040,2037,0.99661,SMAD2,1.53E-09,0.0033892,KNOWN,FALSE,TRUE,FALSE,,
2041,1487,0.99665,NRG1,1.49E-09,0.0033492,NEW,TRUE,TRUE,TRUE,,
2042,71,0.99666,AMOT,2.99E-10,0.00334,KNOWN,FALSE,TRUE,FALSE,,
2043,1117,0.99667,KDM1A,2.46E-12,0.0033338,KNOWN,FALSE,TRUE,FALSE,,
2044,433,0.99673,CREB1,3.42E-08,0.003267,KNOWN,TRUE,TRUE,TRUE,,
2045,970,0.99685,HNRNPL,6.33E-09,0.0031508,NEW,TRUE,FALSE,FALSE,,
2046,2102,0.99691,SRC,6.02E-09,0.003086,KNOWN,TRUE,TRUE,TRUE,,
2047,2353,0.99691,USP1,1.23E-09,0.0030942,NEW,FALSE,TRUE,FALSE,,
2048,1723,0.99692,PRKAG2,1.21E-09,0.003077,NEW,TRUE,FALSE,FALSE,,
2049,2278,0.99696,TP73,1.17E-09,0.0030391,KNOWN,TRUE,TRUE,TRUE,,
2050,1257,0.99698,MAPK1,1.39E-07,0.00302,KNOWN,TRUE,TRUE,TRUE,,
2051,2113,0.99703,ST7,2.25E-10,0.0029717,NEW,TRUE,FALSE,FALSE,,
2052,1312,0.99705,MEF2D,5.41E-09,0.0029539,KNOWN,TRUE,FALSE,FALSE,,
2053,1236,0.99709,MAP2K4,2.58E-08,0.0029132,KNOWN,FALSE,TRUE,FALSE,,
2054,1727,0.99713,PRKAR2B,2.50E-08,0.0028738,KNOWN,TRUE,FALSE,FALSE,,
2055,1138,0.99714,KLF4,1.22E-07,0.0028555,KNOWN,TRUE,FALSE,FALSE,,
2056,1913,0.99715,RPS6KA4,4.12E-11,0.0028531,NEW,TRUE,TRUE,TRUE,,
2057,987,0.9972,HSP90B1,7.95E-12,0.0027998,KNOWN,FALSE,TRUE,FALSE,,
2058,795,0.99721,FRS2,2.32E-08,0.002786,KNOWN,FALSE,TRUE,FALSE,,
2059,1764,0.99721,PTK7,3.23E-13,0.0027887,NEW,FALSE,TRUE,FALSE,,
2060,2086,0.99721,SP2,2.34E-08,0.0027948,NEW,TRUE,FALSE,FALSE,,
2061,793,0.99724,FRMD5,9.30E-10,0.0027633,NEW,TRUE,FALSE,FALSE,,
2062,786,0.99725,FOXO1,1.11E-07,0.0027479,KNOWN,TRUE,FALSE,FALSE,,
2063,1506,0.99725,NXN,2.24E-08,0.0027452,NEW,TRUE,FALSE,FALSE,,
2064,797,0.99727,FRYL,3.36E-29,0.0027296,NEW,TRUE,FALSE,FALSE,,
2065,2277,0.99728,TP63,3.68E-11,0.0027237,KNOWN,TRUE,TRUE,TRUE,,
2066,749,0.99731,FGFR2,7.24E-12,0.0026932,KNOWN,TRUE,TRUE,TRUE,,
2067,1113,0.99731,KCNMA1,1.21E-14,0.002694,NEW,TRUE,FALSE,FALSE,,
2068,698,0.99732,EXT1,1.75E-10,0.002683,NEW,TRUE,FALSE,FALSE,,
2069,1343,0.99739,MNT,9.76E-08,0.0026091,KNOWN,TRUE,FALSE,FALSE,,
2070,2288,0.99739,TRAF6,1.98E-08,0.0026125,KNOWN,FALSE,TRUE,FALSE,,
2071,592,0.99751,DYRK2,8.69E-08,0.0024881,NEW,TRUE,TRUE,TRUE,,
2072,1060,0.99754,IQGAP1,2.73E-20,0.0024603,KNOWN,FALSE,TRUE,FALSE,,
2073,2395,0.99757,WASF1,1.65E-08,0.002427,NEW,FALSE,TRUE,FALSE,,
2074,454,0.99758,CSNK1A1,1.65E-08,0.0024232,KNOWN,TRUE,TRUE,TRUE,,
2075,695,0.99761,EVL,3.22E-09,0.0023882,NEW,TRUE,FALSE,FALSE,,
2076,502,0.99767,DAPK1,1.72E-15,0.0023304,KNOWN,TRUE,TRUE,TRUE,,
2077,1089,0.99767,ITGB8,2.52E-11,0.0023321,NEW,FALSE,TRUE,FALSE,,
2078,2083,0.99772,SOX9,7.01E-08,0.0022783,NEW,TRUE,FALSE,FALSE,,
2079,2106,0.99777,SSBP2,2.74E-09,0.002235,NEW,TRUE,FALSE,FALSE,,
2080,1840,0.99785,RBFOX3,6.11E-08,0.0021537,NEW,TRUE,FALSE,FALSE,,
2081,2158,0.99787,TAOK1,1.38E-15,0.0021269,KNOWN,TRUE,TRUE,TRUE,,
2082,1178,0.99789,LEF1,1.18E-08,0.0021106,KNOWN,TRUE,FALSE,FALSE,,
2083,50,0.99795,AIFM1,2.22E-09,0.0020511,KNOWN,FALSE,TRUE,FALSE,,
2084,154,0.99797,ATP6V0A1,7.39E-13,0.0020346,KNOWN,TRUE,FALSE,FALSE,,
2085,1547,0.99798,PAX5,5.23E-08,0.0020207,KNOWN,TRUE,FALSE,FALSE,,
2086,1381,0.99801,MYC,5.07E-08,0.0019941,KNOWN,TRUE,TRUE,TRUE,,
2087,2073,0.99807,SOCS7,1.92E-09,0.00193,NEW,TRUE,TRUE,TRUE,,
2088,176,0.99808,BCAR1,3.81E-10,0.0019177,KNOWN,FALSE,TRUE,FALSE,,
2089,1661,0.99811,PLXNC1,4.23E-17,0.0018884,NEW,TRUE,FALSE,FALSE,,
2090,811,0.99812,GABPA,1.81E-09,0.0018841,KNOWN,TRUE,FALSE,FALSE,,
2091,1432,0.99813,NFATC3,2.98E-12,0.0018719,KNOWN,FALSE,TRUE,FALSE,,
2092,1469,0.99816,NPM1,4.18E-08,0.0018439,KNOWN,FALSE,TRUE,FALSE,,
2093,871,0.9982,GPC3,3.96E-08,0.0018024,KNOWN,FALSE,TRUE,FALSE,,
2094,1267,0.99823,MAPK8,7.70E-09,0.0017736,KNOWN,TRUE,TRUE,TRUE,,
2095,263,0.99825,CBLB,5.13E-13,0.0017518,KNOWN,TRUE,TRUE,TRUE,,
2096,761,0.99825,FKBP8,3.70E-08,0.0017538,KNOWN,FALSE,TRUE,FALSE,,
2097,1499,0.9983,NTRK3,1.16E-11,0.0016962,NEW,FALSE,TRUE,FALSE,,
2098,1681,0.99834,PPM1A,3.24E-08,0.0016611,KNOWN,TRUE,TRUE,TRUE,,
2099,890,0.99841,GRIK2,1.99E-12,0.0015857,KNOWN,TRUE,FALSE,FALSE,,
2100,121,0.99845,ARHGAP6,1.12E-09,0.0015474,KNOWN,TRUE,FALSE,FALSE,,
2101,241,0.99845,CAMK2A,4.59E-11,0.0015489,NEW,FALSE,TRUE,FALSE,,
2102,1285,0.99846,MAT2A,2.70E-08,0.0015394,NEW,TRUE,FALSE,FALSE,,
2103,1931,0.99852,RXRA,2.46E-08,0.0014818,KNOWN,FALSE,TRUE,FALSE,,
2104,1847,0.99853,RBPJ,1.99E-10,0.0014688,KNOWN,TRUE,TRUE,TRUE,,
2105,1435,0.99861,NFIB,8.65E-10,0.0013934,KNOWN,TRUE,FALSE,FALSE,,
2106,120,0.99862,ARHGAP5,2.88E-13,0.0013832,KNOWN,FALSE,TRUE,FALSE,,
2107,208,0.99863,BMPR1B,8.29E-10,0.0013688,KNOWN,TRUE,TRUE,TRUE,,
2108,1477,0.99864,NR2E1,1.99E-08,0.0013603,KNOWN,TRUE,FALSE,FALSE,,
2109,889,0.99869,GRIA1,1.26E-12,0.0013147,NEW,FALSE,TRUE,FALSE,,
2110,1550,0.99869,PAX8,3.69E-09,0.0013115,KNOWN,TRUE,FALSE,FALSE,,
2111,894,0.99872,GRM5,5.85E-12,0.0012821,NEW,TRUE,TRUE,TRUE,,
2112,1527,0.99876,PA2G4,3.22E-09,0.0012406,KNOWN,TRUE,TRUE,TRUE,,
2113,237,0.99879,CALD1,1.03E-12,0.0012117,KNOWN,TRUE,FALSE,FALSE,,
2114,30,0.9988,ADD3,2.44E-11,0.0011952,NEW,TRUE,FALSE,FALSE,,
2115,2039,0.99881,SMAD4,5.90E-10,0.0011907,KNOWN,TRUE,TRUE,TRUE,,
2116,1673,0.99884,POU2F2,2.76E-09,0.0011637,KNOWN,TRUE,FALSE,FALSE,,
2117,1745,0.99884,PROX1,5.53E-10,0.0011596,KNOWN,FALSE,TRUE,FALSE,,
2118,1218,0.99886,LYN,5.28E-10,0.0011377,KNOWN,TRUE,TRUE,TRUE,,
2119,690,0.99888,ETS2,2.52E-09,0.0011212,KNOWN,TRUE,TRUE,TRUE,,
2120,1476,0.99892,NR2C2,4.63E-10,0.0010785,KNOWN,FALSE,TRUE,FALSE,,
2121,706,0.99895,FAF1,3.56E-12,0.0010455,KNOWN,TRUE,FALSE,FALSE,,
2122,19,0.99896,ACTR2,2.09E-09,0.0010389,KNOWN,FALSE,TRUE,FALSE,,
2123,49,0.99896,AHSA1,1.03E-08,0.0010363,NEW,FALSE,TRUE,FALSE,,
2124,895,0.99896,GRM7,1.74E-11,0.0010396,NEW,TRUE,TRUE,TRUE,,
2125,725,0.99901,FBXL17,9.15E-09,0.00098821,NEW,TRUE,FALSE,FALSE,,
2126,2011,0.99901,SKI,1.84E-09,0.00098548,KNOWN,TRUE,FALSE,FALSE,,
2127,1503,0.99902,NUMBL,3.67E-10,0.00097969,KNOWN,FALSE,TRUE,FALSE,,
2128,1930,0.99902,RUVBL1,1.82E-09,0.00098216,KNOWN,FALSE,TRUE,FALSE,,
2129,2414,0.99904,XRCC6,3.52E-10,0.00096318,KNOWN,FALSE,TRUE,FALSE,,
2130,2201,0.99905,TGFB2,8.36E-09,0.0009524,KNOWN,TRUE,TRUE,TRUE,,
