Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
121,T cell,BMI1,4.957142857,KNOWN,FALSE,TRUE,FALSE,,
122,T cell,BNIP3,22.42857143,NEW,TRUE,FALSE,FALSE,,
123,T cell,BNIP3L,56.28571429,NEW,TRUE,FALSE,FALSE,,
124,T cell,BORA,3.242857143,NEW,FALSE,TRUE,FALSE,,
125,T cell,BRAF,1.471428571,KNOWN,FALSE,TRUE,FALSE,,
126,T cell,BRD8,13.98571429,KNOWN,TRUE,FALSE,FALSE,,
127,T cell,BST1,1.085714286,NEW,TRUE,FALSE,FALSE,,
128,T cell,BST2,139.5428571,NEW,TRUE,FALSE,FALSE,,
129,T cell,BTBD1,2.971428571,NEW,TRUE,FALSE,FALSE,,
130,T cell,BTG1,276.1428571,NEW,TRUE,FALSE,FALSE,,
131,T cell,BTG2,11.72857143,NEW,TRUE,TRUE,TRUE,,
132,T cell,BTG3,12.6,NEW,TRUE,FALSE,FALSE,,
133,T cell,BTN2A1,11.28571429,NEW,TRUE,FALSE,FALSE,,
134,T cell,BTN2A2,5.742857143,NEW,TRUE,FALSE,FALSE,,
135,T cell,BTN3A1,33.2,NEW,TRUE,FALSE,FALSE,,
136,T cell,BTN3A2,100.7571429,NEW,TRUE,FALSE,FALSE,,
137,T cell,BTRC,2.7,KNOWN,FALSE,TRUE,FALSE,,
138,T cell,CAB39,5.271428571,NEW,TRUE,FALSE,FALSE,,
139,T cell,CALM1,804.9285714,KNOWN,FALSE,TRUE,FALSE,,
140,T cell,CALM2,477.0857143,KNOWN,FALSE,TRUE,FALSE,,
141,T cell,CALR,119.2571429,KNOWN,FALSE,TRUE,FALSE,,
142,T cell,CAMK2D,8.328571429,KNOWN,TRUE,TRUE,TRUE,,
143,T cell,CAMK2G,23.44285714,KNOWN,TRUE,TRUE,TRUE,,
144,T cell,CAMK4,18.28571429,KNOWN,TRUE,FALSE,FALSE,,
145,T cell,CANX,31.38571429,NEW,FALSE,TRUE,FALSE,,
146,T cell,CAPN1,29.85714286,KNOWN,FALSE,TRUE,FALSE,,
147,T cell,CAPN2,70.77142857,KNOWN,TRUE,FALSE,FALSE,,
148,T cell,CASP1,108.5714286,KNOWN,TRUE,TRUE,TRUE,,
149,T cell,CASP2,27.3,KNOWN,TRUE,TRUE,TRUE,,
150,T cell,CASP3,35.71428571,KNOWN,TRUE,TRUE,TRUE,,
151,T cell,CASP4,133.3428571,KNOWN,TRUE,FALSE,FALSE,,
152,T cell,CASP6,17.42857143,NEW,TRUE,TRUE,TRUE,,
153,T cell,CASP7,10.34285714,NEW,TRUE,TRUE,TRUE,,
154,T cell,CASP8AP2,13.21428571,KNOWN,FALSE,TRUE,FALSE,,
155,T cell,CASP9,5.885714286,KNOWN,FALSE,TRUE,FALSE,,
156,T cell,CAST,66.6,NEW,TRUE,FALSE,FALSE,,
157,T cell,CAT,62.78571429,NEW,FALSE,TRUE,FALSE,,
158,T cell,CBLB,5.985714286,KNOWN,TRUE,TRUE,TRUE,,
159,T cell,CCAR2,28.11428571,NEW,FALSE,TRUE,FALSE,,
160,T cell,CCDC12,112.5857143,NEW,TRUE,FALSE,FALSE,,
161,T cell,CCDC57,1.842857143,NEW,TRUE,FALSE,FALSE,,
162,T cell,CCDC6,1.171428571,NEW,TRUE,TRUE,TRUE,,
163,T cell,CCDC88C,6.614285714,NEW,TRUE,FALSE,FALSE,,
164,T cell,CCDC91,6.657142857,NEW,TRUE,FALSE,FALSE,,
165,T cell,CCL3,1.828571429,KNOWN,TRUE,FALSE,FALSE,,
166,T cell,CCL4,132.2142857,NEW,TRUE,FALSE,FALSE,,
167,T cell,CCL5,1371.457143,KNOWN,TRUE,TRUE,TRUE,,
168,T cell,CCM2,63.88571429,KNOWN,TRUE,FALSE,FALSE,,
169,T cell,CCNB1,6.185714286,KNOWN,TRUE,TRUE,TRUE,,
170,T cell,CCND2,15.58571429,KNOWN,TRUE,FALSE,FALSE,,
171,T cell,CCND3,288.8142857,KNOWN,TRUE,TRUE,TRUE,,
172,T cell,CCNE2,1.285714286,KNOWN,FALSE,TRUE,FALSE,,
173,T cell,CCNG1,59.98571429,KNOWN,TRUE,FALSE,FALSE,,
174,T cell,CCNG2,1.714285714,NEW,TRUE,FALSE,FALSE,,
175,T cell,CCNH,24.71428571,KNOWN,FALSE,TRUE,FALSE,,
176,T cell,CCNK,6.185714286,KNOWN,TRUE,FALSE,FALSE,,
177,T cell,CCNY,3.242857143,NEW,TRUE,FALSE,FALSE,,
178,T cell,CCR1,9.971428571,NEW,TRUE,FALSE,FALSE,,
179,T cell,CCR2,31.22857143,NEW,FALSE,TRUE,FALSE,,
180,T cell,CCR3,4.785714286,NEW,FALSE,TRUE,FALSE,,
181,T cell,CCR4,9.685714286,NEW,TRUE,FALSE,FALSE,,
182,T cell,CCR5,11.92857143,KNOWN,TRUE,TRUE,TRUE,,
183,T cell,CCR7,1188.371429,NEW,TRUE,FALSE,FALSE,,
184,T cell,CCRL2,2.828571429,NEW,TRUE,FALSE,FALSE,,
185,T cell,CD14,4,KNOWN,FALSE,TRUE,FALSE,,
