Table S1: IEI Candidate Genes without Filter,,,,
,pLI,AssociatedGene,pNull,pRec
278,0.34981,CCL3,0.050263,0.59993
279,0.24134,CCL4,0.10539,0.65326
280,0.0017516,CCL5,0.50901,0.48924
281,0.0092809,CCM2,0.0021349,0.98858
282,0.00043117,CCNA1,0.0014847,0.99808
283,0.99962,CCNA2,8.85E-10,0.00037892
284,0.15993,CCNB1,0.00058757,0.83948
285,0.89057,CCND1,0.00020729,0.10922
286,0.98658,CCND2,5.35E-06,0.013417
287,0.98347,CCND3,8.92E-06,0.016521
288,0.97187,CCNE1,2.75E-07,0.028125
289,0.86983,CCNE2,2.72E-06,0.13017
290,0.00073222,CCNG1,0.070338,0.92893
291,0.0096861,CCNG2,0.0097287,0.98059
292,0.00081328,CCNH,0.014121,0.98507
293,0.9998,CCNK,3.89E-11,0.00020255
294,0.80672,CCNY,3.93E-05,0.19324
295,0.38775,CCR1,0.0088951,0.60335
296,0.023412,CCR2,0.057196,0.91939
297,0.00012636,CCR3,0.35725,0.64262
298,0.06863,CCR4,0.053865,0.87751
299,4.31E-10,CCR5,0.9845,0.015501
300,0.057623,CCR7,0.015987,0.92639
301,0.36861,CCRL2,0.14101,0.49039
302,0.000789,CCSER1,2.56E-05,0.99919
303,4.88E-05,CD14,0.55908,0.44087
304,6.84E-05,CD180,0.083733,0.9162
305,0.47108,CD2,0.0047742,0.52415
306,0.8044,CD22,2.79E-09,0.1956
307,0.03921,CD226,0.0060506,0.95474
308,0.057288,CD244,0.0006875,0.94202
309,0.016734,CD247,0.020948,0.96232
310,0.01916,CD274,0.017301,0.96354
311,0.35779,CD28,0.011139,0.63108
312,5.69E-07,CD33,0.55929,0.44071
313,4.99E-06,CD34,0.12985,0.87015
314,1.09E-60,CD36,1,5.63E-17
315,0.00078914,CD4,0.0030661,0.99614
316,2.45E-07,CD44,0.00019177,0.99981
317,0.91924,CD47,1.92E-05,0.080738
318,1.73E-05,CD48,0.54412,0.45586
319,2.31E-10,CD5,0.32695,0.67305
320,0.25092,CD58,0.0055925,0.74349
321,1.41E-06,CD68,0.36757,0.63243
322,0.029691,CD69,0.041668,0.92864
323,0.24889,CD74,0.0011692,0.74994
324,0.010898,CD80,0.037712,0.95139
325,1.27E-08,CD82,0.64422,0.35578
326,0.0052136,CD83,0.094918,0.89987
327,0.94879,CD86,2.99E-05,0.051176
328,1.98E-10,CD93,0.7653,0.2347
329,9.64E-08,CDC14A,0.0035833,0.99642
330,0.94308,CDC14B,3.23E-07,0.056924
331,3.00E-07,CDC20,0.016599,0.9834
332,0.84041,CDC25A,9.51E-07,0.15959
333,0.3643,CDC25B,3.75E-06,0.6357
334,4.10E-13,CDC25C,0.90901,0.090986
335,0.95625,CDC34,9.91E-05,0.043655
336,0.90925,CDC37,5.24E-06,0.09074
337,0.78728,CDC42,0.0012371,0.21148
338,0.99309,CDC42BPA,3.40E-19,0.0069056
339,1,CDC42BPB,1.79E-33,3.63E-12
340,0.18562,CDC42EP3,0.04614,0.76824
341,0.76835,CDC42SE2,0.0073104,0.22434
342,1.15E-09,CDC6,0.22618,0.77382
343,4.43E-06,CDC7,0.0086613,0.99133
344,0.14631,CDH1,1.17E-06,0.85369
345,0.0007058,CDH13,0.00014844,0.99915
346,0.21478,CDH18,1.34E-05,0.78521
347,0.99171,CDH2,1.13E-10,0.0082875
348,3.18E-06,CDH23,4.83E-06,0.99999
349,0.98806,CDH8,6.74E-09,0.011943
350,0.99206,CDK1,1.48E-06,0.007941
351,6.48E-05,CDK11B,0.00092574,0.99901
352,1,CDK12,4.44E-22,2.42E-08
353,2.50E-08,CDK14,0.09672,0.90328
354,0.9948,CDK16,2.15E-08,0.0051985
355,0.99982,CDK19,2.90E-11,0.00017937
