Table S1: IEI Candidate Genes without Filter,,,,
,pLI,AssociatedGene,pNull,pRec
566,0.63459,DTNA,1.80E-08,0.36541
567,2.80E-10,DTNB,0.0053211,0.99468
568,6.84E-06,DTNBP1,0.091663,0.90833
569,2.81E-10,DTWD1,0.95577,0.044227
570,0.00098982,DTX1,0.0022181,0.99679
571,5.27E-06,DTX3L,0.0067811,0.99321
572,4.50E-56,DUOX2,1,1.07E-09
573,0.010151,DUSP1,0.04144,0.94841
574,0.8335,DUSP10,0.00012856,0.16637
575,8.49E-07,DUSP11,0.24005,0.75995
576,0.088867,DUSP16,6.83E-05,0.91106
577,0.010044,DUSP19,0.15325,0.8367
578,0.0093421,DUSP22,0.046215,0.94444
579,0.00023011,DUSP26,0.2326,0.76717
580,0.46156,DUSP3,0.023292,0.51515
581,0.88152,DUSP4,0.00025508,0.11822
582,0.0033227,DUSP5,0.04232,0.95436
583,0.97603,DUSP6,2.23E-05,0.023943
584,0.69024,DUSP7,0.00076149,0.309
585,0.81981,DUSP9,0.0037123,0.17648
586,3.73E-06,DVL1,0.0022774,0.99772
587,1.36E-05,DVL2,0.00035819,0.99963
588,0.38544,DVL3,3.18E-06,0.61456
589,3.59E-13,DYM,0.099221,0.90078
590,1.14E-44,DYNC2H1,9.24E-17,1
591,0.99967,DYRK1A,5.23E-12,0.00032999
592,0.99751,DYRK2,8.69E-08,0.0024881
593,0.9877,E2F1,4.32E-06,0.012295
594,0.25505,E2F2,0.0011066,0.74385
595,0.9458,E2F3,6.98E-06,0.054195
596,0.45258,E2F4,0.00022992,0.54719
597,0.10158,E2F6,0.0064594,0.89196
598,0.99317,E2F7,3.48E-10,0.0068333
599,1.12E-08,EARS2,0.21603,0.78397
600,0.10797,EBI3,0.027128,0.8649
601,0.95987,ECE1,1.11E-09,0.040127
602,6.76E-06,ECSIT,0.09281,0.90718
603,6.83E-07,EDEM2,0.0052416,0.99476
604,0.45504,EDN1,0.0053852,0.53958
605,0.060323,EDN2,0.064423,0.87525
606,0.97863,EEF1A1,3.40E-06,0.021367
607,8.36E-20,EEF2K,0.94682,0.053184
608,5.92E-07,EFCAB2,0.73768,0.26232
609,4.20E-23,EFCAB5,0.054595,0.9454
610,1.90E-17,EFHC1,0.97429,0.025709
611,0.96051,EFNA5,7.67E-05,0.039412
612,1.82E-08,EFS,0.57918,0.42082
613,8.53E-17,EGF,0.00047646,0.99952
614,0.36837,EGFR,1.02E-11,0.63163
615,0.0094753,EGLN3,0.045369,0.94516
616,0.3509,EGR1,0.0024593,0.64664
617,0.50292,EGR2,0.0037498,0.49333
618,0.98342,EHD1,1.82E-06,0.016581
619,0.70543,EHF,2.69E-05,0.29454
620,0.00010292,EHMT2,1.34E-09,0.9999
621,0.73348,EI24,1.99E-05,0.2665
622,6.04E-09,EIF2A,0.03573,0.96427
623,7.01E-07,EIF2AK1,0.0010307,0.99897
624,0.017643,EIF2AK2,3.42E-05,0.98232
625,0.0027603,EIF2AK3,3.50E-08,0.99724
626,1.24E-15,EIF2AK4,3.48E-09,1
627,0.97031,EIF2S1,7.67E-06,0.029682
628,0.047483,EIF3H,0.00092264,0.95159
629,0.99999,EIF4B,5.09E-15,5.16E-06
630,0.94133,EIF4E,8.52E-06,0.058663
631,0.20762,EIF4EBP1,0.13355,0.65883
632,1,EIF4G2,8.73E-22,8.61E-09
633,0.98849,ELAVL1,3.67E-06,0.011506
634,0.01065,ELF1,0.00035491,0.989
635,0.98323,ELF3,3.79E-07,0.016765
636,0.06139,ELF4,0.0030255,0.93558
637,0.00086946,ELF5,0.012868,0.98626
638,0.93711,ELK1,0.00024583,0.062646
639,0.98542,ELL,1.10E-08,0.014575
640,0.89997,ELMO1,4.63E-10,0.10003
641,1,ELMSAN1,4.72E-17,1.45E-06
642,NA,ELP1,NA,NA
643,3.01E-14,ELP3,0.57141,0.42859
644,0.003297,EMC2,0.0019383,0.99476
645,8.64E-05,EMCN,0.0632,0.93671
646,5.76E-19,EML2,0.84188,0.15812
647,0.99994,ENAH,3.69E-13,5.77E-05
648,0.46008,ENC1,0.00021715,0.53971
649,1.53E-06,ENOX2,0.03704,0.96296
650,0.0027913,ENPP2,6.96E-09,0.99721
651,0.0080716,ENTPD1,0.00053154,0.9914
652,1,EP300,4.88E-42,1.11E-15
653,1,EP400,1.10E-38,1.84E-09
654,0.5961,EPAS1,1.24E-07,0.4039
655,0.99318,EPB41L2,2.87E-12,0.0068228
656,4.32E-05,EPB41L3,2.31E-08,0.99996
657,1.28E-07,EPCAM,0.40427,0.59573
658,1.46E-23,EPHA1,0.96771,0.032287
659,1.07E-05,EPHA2,4.16E-06,0.99999
660,1.20E-05,EPHA3,7.22E-07,0.99999
661,1,EPHA4,2.84E-17,4.38E-06
662,1.83E-10,EPHA8,0.00040416,0.9996
663,0.99997,EPHB2,2.18E-14,3.47E-05
664,0.46242,EPHB3,1.47E-08,0.53758
665,0.013497,EPHB4,1.72E-08,0.9865
666,0.01125,EPO,0.036141,0.95261
667,0.0101,EPOR,0.0018881,0.98801
668,0.0034774,EPS15,1.24E-07,0.99652
669,0.97308,EPS8,8.36E-11,0.02692
670,3.31E-25,EPSTI1,0.99998,1.85E-05
671,2.06E-26,ERAP1,0.99747,0.0025295
672,0.0059892,ERBB2,9.45E-11,0.99401
673,1.70E-15,ERBB3,3.21E-05,0.99997
674,0.99912,ERBB4,3.28E-17,0.00088401
675,NA,ERBIN,NA,NA
676,1.06E-07,ERC1,2.17E-07,1
677,0.98931,ERC2,1.74E-12,0.010688
678,1.59E-07,ERCC1,0.59003,0.40997
679,2.73E-13,ERCC5,0.0076245,0.99238
680,5.16E-22,ERCC6,0.0082575,0.99174
681,1.17E-05,EREG,0.6191,0.38089
682,0.96413,ERG,5.03E-07,0.035865
683,0.64747,ERGIC1,0.00023247,0.35229
684,0.99027,ERN1,6.84E-12,0.009732
685,0.012152,ERRFI1,0.032576,0.95527
686,0.9992,ESR1,1.11E-09,0.00080059
687,4.45E-08,ESR2,0.17,0.83
688,7.79E-06,ESYT2,6.59E-06,0.99999
689,0.7816,ETS1,2.27E-06,0.2184
690,0.99888,ETS2,2.52E-09,0.0011212
691,0.97596,ETV3,4.55E-06,0.024039
692,2.87E-08,ETV4,0.019622,0.98038
693,0.9735,ETV6,2.37E-07,0.026497
694,3.96E-14,ETV7,0.98768,0.012316
695,0.99761,EVL,3.22E-09,0.0023882
696,3.41E-13,EXOC4,0.0055654,0.99443
697,2.44E-07,EXOC6,7.91E-06,0.99999
698,0.99732,EXT1,1.75E-10,0.002683
699,1,EZH2,8.04E-16,4.66E-06
700,0.17989,EZR,3.88E-06,0.82011
701,0.0011118,F2,1.56E-05,0.99887
702,0.0084678,F2R,0.052481,0.93905
703,0.018872,F3,0.017677,0.96345
704,5.92E-15,F5,1.82E-09,1
705,1,F8,1.41E-26,1.79E-10
706,0.99895,FAF1,3.56E-12,0.0010455
707,0.002225,FAM111A,0.67044,0.32734
708,7.17E-20,FAM129A,0.99308,0.0069222
709,0.016975,FAM129B,3.00E-07,0.98302
710,1.90E-18,FAM13A,0.021604,0.9784
711,5.81E-05,FAM13C,0.00021939,0.99972
712,0.98528,FAM171A1,2.28E-09,0.01472
713,0.00024392,FAM172A,0.0033504,0.99641
714,0.041627,FAM183A,0.10359,0.85478
715,0.34104,FAM19A2,0.012646,0.64631
716,0.97612,FAM49B,9.06E-07,0.023875
717,0.37254,FAM78A,0.0099685,0.61749
718,2.49E-14,FANCG,0.7749,0.2251
719,0.8117,FAS,0.00018013,0.18812
720,0.18345,FASLG,0.01067,0.80588
721,1.20E-12,FAT1,2.49E-18,1
722,0.91878,FBLN1,6.61E-09,0.081222
723,7.01E-06,FBLN2,3.14E-07,0.99999
724,0.079124,FBP1,0.0097379,0.91114
725,0.99901,FBXL17,9.15E-09,0.00098821
726,1,FBXO11,4.05E-19,1.07E-07
727,0.44439,FBXO31,4.96E-05,0.55556
728,0.96995,FBXO5,1.60E-06,0.030047
729,0.97611,FBXW11,7.51E-09,0.023891
730,0.99949,FBXW7,3.02E-12,0.00050762
731,3.08E-05,FCER1A,0.42245,0.57752
732,0.66327,FCER1G,0.004746,0.33198
733,7.61E-12,FCER2,0.92824,0.071756
734,0.00013116,FCGR1A,0.13948,0.86039
735,2.01E-06,FCGR2A,0.5299,0.4701
736,0.041493,FCGRT,0.005553,0.95295
737,0.56618,FCHSD2,6.50E-09,0.43382
738,4.61E-17,FCRL5,0.84776,0.15224
739,0.0056199,FDPS,0.0008985,0.99348
740,1.15E-06,FDXR,0.01206,0.98794
741,4.77E-05,FEN1,0.32708,0.67287
742,0.6633,FER,2.79E-09,0.3367
743,3.79E-15,FES,0.02792,0.97208
744,0.44406,FGF1,0.026338,0.5296
745,0.90887,FGF14,0.00012905,0.091
746,0.0184,FGF2,0.077582,0.90402
747,0.67676,FGF8,0.0008685,0.32237
748,0.99984,FGFR1,1.85E-13,0.00016128
749,0.99731,FGFR2,7.24E-12,0.0026932
750,1.64E-05,FGFR3,5.51E-05,0.99993
751,7.19E-13,FGFR4,0.042523,0.95748
752,3.19E-18,FGGY,0.98263,0.017371
753,0.48408,FGR,7.41E-06,0.51592
754,0.00013667,FHAD1,0.3402,0.65966
755,0.0057055,FHIT,0.25518,0.73911
756,2.87E-05,FHL2,0.20584,0.79413
757,0.066509,FHOD3,6.24E-11,0.93349
758,1.08E-09,FILIP1L,0.00077775,0.99922
759,0.81452,FKBP1A,0.0040108,0.18147
760,0.73393,FKBP5,1.98E-05,0.26605
761,0.99825,FKBP8,3.70E-08,0.0017538
762,0.9894,FLI1,1.23E-07,0.010596
763,1,FLNA,5.31E-29,1.81E-11
764,6.05E-10,FLNB,1.41E-14,1
765,0.99983,FLT1,1.40E-17,0.00016792
766,0.60777,FLT3,1.88E-10,0.39223
767,1,FLT4,7.88E-24,1.72E-08
768,3.59E-18,FMN1,0.36491,0.63509
769,0.64718,FMR1,9.56E-06,0.35281
770,0.0014045,FN1,6.05E-21,0.9986
771,0.82844,FNBP1,4.74E-08,0.17156
772,1,FNDC3B,1.88E-28,8.18E-12
773,1,FNIP2,6.70E-18,6.53E-07
774,0.94721,FNTA,1.32E-06,0.052786
775,7.21E-37,FOCAD,0.72203,0.27797
776,0.26176,FOS,0.0050864,0.73316
777,0.98293,FOSL2,9.66E-06,0.017063
778,0.22227,FOXA1,0.0072591,0.77047
779,0.74225,FOXA2,0.00043926,0.25731
780,0.95337,FOXC1,0.00011615,0.046517
781,0.99598,FOXJ3,4.69E-10,0.0040168
782,0.80522,FOXK1,8.12E-06,0.19477
783,0.87762,FOXL2,0.0013435,0.12103
784,0.0007414,FOXM1,0.00013831,0.99912
785,0.93167,FOXN3,1.25E-05,0.068314
786,0.99725,FOXO1,1.11E-07,0.0027479
787,0.98806,FOXO3,8.13E-07,0.011938
788,0.99998,FOXP1,3.39E-15,1.62E-05
789,0.40137,FPR2,0.11851,0.48012
790,1.81E-12,FRK,0.63687,0.36313
791,0.27023,FRMD3,8.05E-06,0.72976
792,0.4539,FRMD4B,2.62E-11,0.5461
793,0.99724,FRMD5,9.30E-10,0.0027633
794,0.027916,FRMD6,1.73E-05,0.97207
795,0.99721,FRS2,2.32E-08,0.002786
796,1,FRY,1.37E-38,3.88E-09
797,0.99727,FRYL,3.36E-29,0.0027296
798,0.86852,FSCN1,6.82E-05,0.13141
799,0.98014,FST,2.84E-06,0.019854
800,1.40E-06,FSTL5,7.72E-05,0.99992
801,8.36E-08,FTO,0.020803,0.9792
802,0.99994,FURIN,9.16E-14,6.27E-05
803,0.9993,FUS,6.51E-12,0.00069526
804,NA,FYB1,NA,NA
805,0.99406,FYN,1.22E-09,0.0059367
806,0.99969,FZR1,1.08E-10,0.00030806
807,0.033122,G3BP1,6.59E-05,0.96681
808,0.18433,GAB1,3.70E-06,0.81567
809,0.98325,GAB2,1.55E-08,0.016751
810,0.99999,GABBR2,4.69E-16,7.19E-06
811,0.99812,GABPA,1.81E-09,0.0018841
812,0.044075,GADD45A,0.096655,0.85927
813,0.21058,GADD45B,0.036636,0.75278
814,0.55259,GADD45G,0.011945,0.43546
815,1.99E-05,GALNT10,0.00020737,0.99977
816,0.0084175,GALNT2,4.15E-06,0.99158
817,0.11388,GAPDH,0.0053158,0.8808
818,0.034477,GAS6,1.25E-05,0.96551
819,0.8523,GAS7,1.56E-07,0.1477
820,0.94798,GATA1,0.00015264,0.051865
821,0.89887,GATA3,3.43E-05,0.1011
822,0.49308,GATA4,0.00083068,0.50609
823,0.99957,GATAD2A,4.94E-11,0.00043027
824,1.26E-15,GBP1,0.95773,0.042267
825,0.034814,GCG,0.033426,0.93176
826,0.63464,GCK,5.29E-05,0.36531
827,0.42718,GCLC,4.68E-07,0.57282
828,2.41E-05,GCNT2,0.23891,0.76107
829,3.01E-07,GDF15,0.90076,0.09924
830,5.52E-06,GDF9,0.31243,0.68756
831,0.2035,GDNF,0.039064,0.75744
832,1.18E-08,GEM,0.65711,0.34289
833,1.46E-06,GFAP,0.14634,0.85366
834,0.00052334,GFI1B,0.025848,0.97363
835,8.44E-05,GHR,0.00063419,0.99928
836,0.27108,GIP,0.021884,0.70704
837,0.99978,GIT1,4.06E-13,0.0002227
838,0.15523,GJA1,0.0030506,0.84172
839,7.66E-14,GLI1,0.15707,0.84293
840,0.97303,GLI2,1.70E-11,0.026972
841,0.99999,GLI3,7.03E-17,1.23E-05
842,4.86E-05,GLIPR2,0.56005,0.4399
843,5.60E-08,GLIS3,0.0015896,0.99841
844,5.67E-07,GLRX,0.92441,0.07559
845,0.96154,GLS,4.95E-09,0.038457
846,0.03103,GM2A,0.14461,0.82436
847,0.99132,GMDS,7.53E-08,0.0086776
848,0.21757,GML,0.12447,0.65796
849,0.88941,GNA11,4.33E-05,0.11055
850,0.96994,GNA12,3.90E-05,0.030021
851,0.86735,GNA13,6.98E-05,0.13258
852,2.43E-17,GNA14,0.99887,0.0011304
853,0.0059721,GNA15,0.0040346,0.98999
854,0.91125,GNAI1,2.45E-05,0.088723
855,0.89194,GNAI2,4.07E-05,0.10802
856,0.038287,GNAI3,0.0012854,0.96043
857,0.98069,GNAQ,5.36E-07,0.019305
858,0.68076,GNAS,5.77E-08,0.31924
859,0.96272,GNAZ,6.65E-05,0.037213
860,0.98876,GNB2,7.00E-07,0.011235
861,3.33E-11,GNB3,0.91177,0.088231
862,6.36E-08,GNB5,0.11805,0.88195
863,0.58936,GNG12,0.037053,0.37359
864,0.50556,GNG2,0.064883,0.42956
865,0.15575,GNG4,0.19483,0.64942
866,0.067566,GNRHR,0.012505,0.91993
867,0.23586,GOLPH3,0.0064011,0.75774
868,0.019543,GORASP1,0.003519,0.97694
869,1.02E-11,GPATCH2,0.52002,0.47998
870,0.015547,GPC1,0.001005,0.98345
871,0.9982,GPC3,3.96E-08,0.0018024
872,0.14181,GPC6,0.00014904,0.85804
873,0.2018,GPCPD1,6.24E-07,0.7982
874,8.13E-11,GPD2,0.02953,0.97047
875,2.88E-27,GPNMB,0.99999,8.06E-06
876,0.28858,GPR107,1.39E-06,0.71142
877,0.016959,GPR132,0.25467,0.72837
878,8.53E-08,GPR141,0.95175,0.048246
879,0.1493,GPR146,0.066352,0.78435
880,3.85E-05,GPX1,0.77271,0.22725
881,0.0013146,GRAMD1A,2.49E-06,0.99868
882,0.99929,GRAMD1B,1.40E-12,0.00071312
883,0.00015256,GRAP2,0.0065232,0.99332
884,0.93945,GRB10,1.55E-08,0.06055
885,0.053089,GRB14,3.18E-05,0.94688
886,0.93934,GRB2,4.58E-05,0.060616
887,1.36E-06,GRB7,0.0019554,0.99804
888,6.60E-09,GREB1,3.27E-11,1
889,0.99869,GRIA1,1.26E-12,0.0013147
890,0.99841,GRIK2,1.99E-12,0.0015857
891,NA,GRK2,NA,NA
892,0.67567,GRK5,3.00E-07,0.32433
893,0.00048726,GRK6,5.12E-05,0.99946
894,0.99872,GRM5,5.85E-12,0.0012821
895,0.99896,GRM7,1.74E-11,0.0010396
896,0.069666,GRN,2.06E-05,0.93031
897,2.55E-23,GSAP,0.91563,0.084366
898,1,GSE1,3.53E-18,5.02E-07
899,0.9997,GSK3A,4.88E-10,0.00029685
900,0.95571,GSK3B,1.72E-07,0.044292
901,3.89E-11,GSN,0.017735,0.98226
902,1.73E-06,GSTA1,0.74305,0.25695
903,1.94E-06,GSTK1,0.53688,0.46312
904,0.014155,GSTP1,0.026442,0.9594
905,1.01E-12,GTDC1,0.91919,0.080811
906,0.98982,GTF2H1,4.56E-09,0.01018
907,0.99592,GTF2I,4.87E-10,0.0040811
908,0.68714,GULP1,0.00015964,0.3127
909,3.67E-14,GZMB,0.99835,0.0016523
910,0.17652,H2AFX,0.16708,0.6564
911,0.0062064,HABP4,0.0038175,0.98998
912,0.0081797,HAMP,0.41355,0.57828
913,0.07563,HBEGF,0.046855,0.87752
914,0.0042407,HBP1,0.00027374,0.99549
915,1,HCFC1,2.81E-20,1.86E-08
916,0.01976,HCK,2.89E-05,0.98021
917,0.61427,HDAC1,2.59E-06,0.38573
918,0.99997,HDAC2,1.40E-12,2.68E-05
919,0.56737,HDAC3,3.84E-06,0.43263
920,1,HDAC4,1.52E-23,8.46E-10
921,1,HDAC6,4.07E-17,3.68E-07
922,0.99969,HDAC7,3.72E-14,0.00030993
923,0.99973,HDAC9,2.16E-16,0.00026801
924,1,HERC1,1.41E-49,2.21E-07
925,1,HERC2,1.67E-56,4.49E-13
926,0.99947,HGF,2.80E-14,0.00053107
927,3.25E-08,HHAT,0.016558,0.98344
928,0.13002,HIC1,0.0042144,0.86577
929,0.9777,HIF1A,2.59E-10,0.022298
930,1,HIPK2,2.38E-17,2.12E-06
931,0.27733,HIPK3,5.20E-10,0.72267
932,5.45E-07,HIST1H2AM,0.96109,0.038907
933,0.0037893,HIST1H2BB,0.57544,0.42078
934,0.26064,HIST1H3C,0.092231,0.64713
935,0.18727,HIST2H2AC,0.15451,0.65821
936,1,HIVEP1,1.66E-25,2.52E-08
937,1,HIVEP2,6.43E-30,7.60E-12
938,0.90584,HIVEP3,2.72E-14,0.094164
939,0.91459,HK1,1.52E-09,0.085407
940,0.0045893,HK2,2.02E-06,0.99541
941,0.0013299,HLA-A,0.0070824,0.99159
942,3.86E-05,HLA-B,0.042807,0.95715
943,0.002381,HLA-DMA,0.064625,0.93299
944,0.0024627,HLA-DMB,0.06198,0.93556
945,2.98E-10,HLA-DOA,0.97606,0.023937
946,1.92E-06,HLA-DOB,0.53873,0.46127
947,2.50E-06,HLA-DPA1,0.69032,0.30968
948,5.33E-10,HLA-DPB1,0.93613,0.063875
949,0.023947,HLA-DQA1,0.055535,0.92052
950,1.01E-05,HLA-DQA2,0.64442,0.35557
951,0.0089259,HLA-DQB1,0.049035,0.94204
952,0.51949,HLA-DRA,0.003301,0.4772
953,0.0010997,HLA-DRB1,0.15392,0.84498
955,NA,HLA-DRB4,NA,NA
956,3.64E-07,HLA-DRB5,0.8897,0.1103
957,0.036773,HLA-E,0.001367,0.96186
958,3.28E-05,HLA-F,0.052881,0.94709
959,0.88317,HLX,5.00E-05,0.11678
960,0.68958,HM13,3.16E-05,0.31039
961,3.63E-38,HMCN1,1.74E-27,1
962,0.83209,HMGA1,0.0030774,0.16483
963,0.82035,HMGB1,0.00077553,0.17887
964,0.95087,HMGB2,0.0001323,0.048996
965,0.20661,HMGN1,0.037974,0.75542
966,0.0096817,HMOX1,0.044106,0.94621
967,0.96115,HNF1A,1.24E-07,0.038851
968,0.15285,HNF4A,0.00012968,0.84702
969,0.99998,HNRNPK,4.69E-13,1.71E-05
970,0.99685,HNRNPL,6.33E-09,0.0031508
971,0.99999,HNRNPM,1.73E-13,1.14E-05
972,0.99935,HNRNPR,1.34E-10,0.00064739
973,1,HNRNPU,2.82E-16,1.57E-06
974,0.99999,HNRNPUL1,4.17E-16,1.32E-05
975,4.65E-18,HOOK2,0.30897,0.69103
976,0.0013606,HOXA7,0.32391,0.67473
977,4.36E-05,HOXA9,0.58097,0.41898
978,0.00028382,HOXB7,0.42351,0.5762
979,0.89103,HPCAL1,0.00099541,0.10798
980,0.079774,HRAS,0.043326,0.8769
981,1.86E-06,HRH1,0.30744,0.69256
982,1.19E-06,HS1BP3,0.40462,0.59537
983,0.11777,HSD11B2,0.023531,0.8587
984,0.74762,HSF1,1.70E-05,0.25237
985,0.86025,HSP90AA1,2.73E-08,0.13975
986,0.99923,HSP90AB1,2.01E-10,0.00076508
987,0.9972,HSP90B1,7.95E-12,0.0027998
988,0.030228,HSPA1A,0.1487,0.82108
989,0.0053464,HSPA1B,0.26841,0.72624
990,2.78E-07,HSPB1,0.90518,0.09482
991,0.043128,HSPB8,0.099253,0.85762
992,0.99257,HSPD1,5.15E-08,0.0074325
993,0.0062906,HTR5A,0.07603,0.91768
994,0.00018524,HTR6,0.2758,0.72401
995,0.0035755,HTRA2,0.0083867,0.98804
996,1,HTT,1.33E-43,1.28E-12
997,0.035295,ICAM1,0.001455,0.96325
998,1.21E-06,ICAM4,0.78716,0.21284
999,0.00031026,ID1,0.62899,0.3707
1000,0.66939,ID2,0.019727,0.31089
1001,0.72177,ID3,0.012121,0.26611
1002,3.30E-06,IDO1,0.19455,0.80544
1003,3.14E-09,IDO2,0.69069,0.30931
1004,0.63122,IER3,0.027028,0.34175
1005,0.86869,IER5,0.0016134,0.1297
1006,1.78E-11,IFI16,0.40022,0.59978
1007,0.010698,IFI27,0.35388,0.63543
1008,4.28E-07,IFI35,0.61295,0.38705
1009,0.013731,IFI6,0.29917,0.68709
1010,0.00027793,IFIT1,0.42809,0.57163
1011,0.11732,IFIT3,0.094813,0.78786
1012,0.13569,IFITM1,0.22692,0.63739
1013,0.030466,IFITM3,0.35655,0.61298
1014,NA,IFNA1,NA,NA
1015,NA,IFNA2,NA,NA
1016,NA,IFNB1,NA,NA
1017,0.47156,IFNG,0.0217,0.50674
1018,0.062532,IFNLR1,0.014103,0.92337
1019,0.2716,IGF1,0.021792,0.70661
1020,0.96799,IGF1R,2.15E-13,0.032008
1021,0.044127,IGF2,0.096518,0.85936
1022,1,IGF2R,1.83E-30,8.50E-08
1023,0.91029,IGFBP3,0.00060458,0.089105
1024,0.0090053,IKBKE,7.61E-07,0.99099
1025,0.04746,IL12A,0.021388,0.93115
1026,0.014426,IL13,0.28858,0.697
1027,0.96333,IL13RA1,1.30E-05,0.036656
1028,0.70859,IL15,0.0030623,0.28835
1029,2.33E-06,IL15RA,0.7009,0.29909
1030,1.24E-10,IL16,0.00014274,0.99986
1031,0.043049,IL17A,0.099474,0.85748
1032,0.0001243,IL17C,0.59317,0.4067
1033,0.19796,IL17D,0.14307,0.65896
1034,0.030717,IL18,0.14618,0.8231
1035,0.0001602,IL1A,0.30613,0.69371
1036,0.13005,IL1B,0.0042124,0.86574
1037,0.15126,IL1R1,0.00013224,0.84861
1038,0.25846,IL1RAP,8.93E-06,0.74153
1039,0.47968,IL2,0.020478,0.49984
1040,0.00018843,IL22,0.51096,0.48885
1041,0.35806,IL23A,0.011116,0.63082
1042,0.78232,IL27,0.0013197,0.21636
1043,2.59E-09,IL3,0.97693,0.023067
1044,8.29E-10,IL33,0.95658,0.043419
1045,2.99E-27,IL3RA,1,2.22E-06
1046,0.0047372,IL4,0.29362,0.70164
1047,0.00023013,IL4R,0.01739,0.98238
1048,0.0056529,IL5,0.25705,0.7373
1049,0.31536,IL6,0.015405,0.66924
1050,3.79E-05,ILK,0.001996,0.99797
1051,0.011165,IMMP2L,0.13737,0.85147
1052,0.0096662,ING1,0.0097573,0.98058
1053,0.99952,INPP4A,2.24E-14,0.00048478
1054,0.55218,INPP4B,2.98E-10,0.44782
1055,0.97198,INPP5D,7.65E-13,0.028025
1056,0.30091,INS,0.070035,0.62906
1057,3.61E-05,INSR,1.22E-09,0.99996
1058,1.26E-05,INTS7,3.32E-06,0.99998
1059,0.0015595,IPCEF1,0.0011562,0.99728
1060,0.99754,IQGAP1,2.73E-20,0.0024603
1061,8.50E-27,IQGAP2,0.007036,0.99296
1062,0.99969,IQSEC1,8.95E-13,0.00030798
1063,2.61E-19,IRAK2,0.99232,0.0076838
1064,0.9909,IRF1,4.18E-07,0.009099
1065,0.79793,IRF2,4.44E-05,0.20203
1066,0.0090365,IRF5,0.000451,0.99051
1067,0.023645,IRS1,2.21E-05,0.97633
1068,0.99032,IRS2,1.99E-08,0.0096801
1069,0.57796,IRS4,1.74E-05,0.42202
1070,0.002899,ISG20,0.40044,0.59666
1071,8.66E-08,ITGA11,2.89E-07,1
1072,6.28E-11,ITGA2,6.39E-07,1
1073,3.55E-07,ITGA3,1.88E-07,1
1074,0.00010067,ITGA4,3.38E-08,0.9999
1075,0.42455,ITGA5,6.63E-12,0.57545
1076,1.90E-07,ITGA6,9.35E-08,1
1077,6.08E-13,ITGA8,2.04E-05,0.99998
1078,0.0081584,ITGA9,7.28E-09,0.99184
1079,0.0043213,ITGAL,7.49E-10,0.99568
1080,3.31E-11,ITGAM,7.91E-06,0.99999
1081,0.00022844,ITGAV,2.11E-09,0.99977
1082,1.37E-15,ITGAX,0.00021697,0.99978
1083,0.98208,ITGB1,7.48E-10,0.017918
1084,0.0017189,ITGB3,8.35E-06,0.99827
1085,9.53E-19,ITGB4,8.51E-07,1
1086,9.89E-08,ITGB5,0.0007035,0.9993
1087,1.63E-22,ITGB6,0.99736,0.0026426
1088,2.37E-06,ITGB7,0.00018026,0.99982
1089,0.99767,ITGB8,2.52E-11,0.0023321
1090,1,ITPR1,4.39E-43,1.10E-14
1091,5.71E-29,ITPR2,3.68E-10,1
1092,1,ITSN1,1.67E-27,7.25E-07
1093,0.99994,JADE2,4.92E-13,6.49E-05
1094,1,JAG1,1.79E-21,8.28E-08
1095,1,JAG2,6.31E-22,5.39E-08
1096,0.65372,JAK2,2.53E-11,0.34628
1097,0.0006158,JAM3,0.020722,0.97866
1098,1,JMJD1C,2.62E-40,7.95E-16
1099,0.05962,JUN,0.065457,0.87492
1100,0.86299,JUNB,0.0018024,0.13521
1101,0.70054,JUND,0.014898,0.28457
1102,1,KALRN,6.88E-30,4.00E-10
1103,0.57331,KAT2A,3.03E-08,0.42669
1104,0.98975,KAT2B,7.78E-12,0.010254
1105,0.088234,KAT5,1.40E-05,0.91175
1106,1,KAT6A,5.85E-35,6.47E-14
1107,1,KAT6B,4.27E-28,3.04E-10
1108,0.22493,KAT8,6.00E-05,0.77501
1109,0.59671,KAZN,1.23E-07,0.40329
1110,0.037604,KCNIP3,0.0064448,0.95595
1111,0.11313,KCNJ15,0.025144,0.86172
1112,0.031161,KCNK1,0.038996,0.92984
1113,0.99731,KCNMA1,1.21E-14,0.002694
1114,0.5544,KCNMB2,0.0025096,0.44309
1115,0.97227,KCNN3,5.37E-08,0.027735
1116,0.85538,KCTD1,0.00043199,0.14419
1117,0.99667,KDM1A,2.46E-12,0.0033338
1118,1,KDM2A,9.15E-27,4.03E-11
1119,1,KDM2B,8.59E-21,5.84E-07
1120,6.52E-07,KDM4C,3.89E-07,1
1121,1,KDM5A,1.63E-27,3.78E-09
1122,1,KDM6B,1.96E-22,3.34E-08
1123,0.99982,KDR,3.58E-18,0.00018468
1124,0.00038766,KEAP1,0.00035101,0.99926
1125,0.99423,KHDRBS1,1.37E-07,0.0057738
1126,0.038537,KHDRBS2,0.0012727,0.96019
1127,1,KHSRP,6.07E-16,1.12E-06
1128,0.00023185,KIAA1217,8.46E-11,0.99977
1129,2.04E-05,KIAA1324L,1.66E-06,0.99998
1130,0.99998,KIF2A,4.27E-14,2.38E-05
1131,3.57E-15,KIR2DL1,0.99845,0.0015538
1132,2.68E-09,KIR2DL3,0.9149,0.0851
1133,8.36E-14,KIR3DL1,0.99483,0.0051666
1134,0.98087,KIT,3.60E-11,0.019126
