Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean
1983,THSD7A,0.2
1984,TIAM1,6.911111111
1985,TIAM2,1.505555556
1986,TICAM2,2.327777778
1987,TIE1,0.222222222
1988,TIMP1,199.1
1989,TIMP3,0.016666667
1990,TJP2,0.088888889
1991,TKT,90.90555556
1992,TLE1,1.755555556
1993,TLE4,4.927777778
1994,TLK1,5.827777778
1995,TLN1,4.016666667
1996,TLR1,12.12777778
1997,TLR10,3.922222222
1998,TLR2,41.93333333
1999,TLR4,16.68333333
2000,TLR5,5.8
2001,TLR6,1.122222222
2002,TLR7,3.627777778
2003,TLR8,3.538888889
2004,TLR9,4.627777778
2005,TMEM2,1.094444444
2006,TMEM204,25.88333333
2007,TMEM30A,38.25
2008,TMTC2,0.094444444
2009,TMX3,3.305555556
2010,TNC,0.005555556
2011,TNF,1.916666667
2012,TNFAIP8,154.1444444
2013,TNFAIP8L1,2.505555556
2014,TNFRSF10A,7.527777778
2015,TNFRSF10B,4.372222222
2016,TNFRSF10C,94.59444444
2017,TNFRSF10D,1.133333333
2018,TNFRSF11B,0.155555556
2019,TNFRSF1B,62.52777778
2020,TNFRSF21,3.761111111
2021,TNFRSF25,1.855555556
2022,TNFRSF8,9.183333333
2023,TNFSF10,58.59444444
2024,TNFSF13B,81.43333333
2025,TNFSF4,0.388888889
2026,TNFSF8,10.85
2027,TNIK,2.394444444
2028,TNIP1,13.25
2029,TNIP2,8.777777778
2030,TNIP3,0.933333333
2031,TNK2,0.888888889
2032,TNKS1BP1,0.016666667
2033,TNRC6B,69.26666667
2034,TNS1,0.038888889
2035,TNS3,0.983333333
2036,TOLLIP,56.38333333
2037,TOP1,9.05
2038,TOPBP1,0.861111111
2039,TOX2,0.677777778
2040,TP53AIP1,0.011111111
2041,TP53BP1,1.133333333
2042,TP53BP2,1.216666667
2043,TP53I3,4.422222222
2044,TP53INP1,6.227777778
2045,TP53RK,17.08333333
2046,TP63,0.244444444
2047,TP73,0.011111111
2048,TPCN1,3.572222222
2049,TPD52,10.06111111
2050,TPD52L1,0.588888889
2051,TPRG1,1.133333333
2052,TRADD,48.41666667
2053,TRAF1,2.605555556
2054,TRAF2,10.33333333
2055,TRAF4,4.816666667
2056,TRAF5,8.277777778
2057,TRAF6,15.66666667
2058,TRAPPC9,3.716666667
2059,TRH,0.011111111
2060,TRIAP1,34.39444444
2061,TRIB3,6.755555556
2062,TRIM21,96.72222222
2063,TRIM24,0.4
2064,TRIM25,2.488888889
2065,TRIM28,12.13333333
2066,TRIM55,0.005555556
2067,TRIM56,1.4
2068,TRIM69,0.466666667
2069,TRIO,0.377777778
2070,TRIP6,0.927777778
2071,TRPC1,0.027777778
2072,TRPM6,1.477777778
2073,TRPS1,0.95
2074,TRPV1,0.077777778
2075,TRPV4,0.027777778
2076,TSC1,2.094444444
2077,TSC2,1.85
2078,TSC22D3,649.8722222
2079,TSHR,0.577777778
2080,TSNARE1,0.516666667
2081,TSPAN14,58.19444444
2082,TSPAN3,80.72777778
2083,TSPAN9,0.022222222
2084,TTC1,67.91111111
2085,TTC7B,0.883333333
2086,TTK,0.155555556
2087,TUB,0.005555556
2088,TUBA1C,15.95
2089,TUBB,14.84444444
2090,TUBGCP5,2.35
2091,TUSC3,0.011111111
2092,TXK,22.47777778
2093,TXN,309.9111111
2094,TXNIP,585.7388889
2095,TXNRD1,31.16111111
2096,TYMS,1.727777778
2097,TYRO3,0.238888889
2098,TYROBP,1217.883333
2099,UBA52,1842.972222
2100,UBB,2673.45
2101,UBC,394.4222222
2102,UBE2F,47.88888889
2103,UBE2H,2.216666667
2104,UBE2I,179.8333333
2105,UBE2L3,71.72777778
2106,UBE2N,101.8333333
2107,UBR1,1.961111111
2108,UBR3,0.622222222
2109,UHRF1,0.711111111
2110,UIMC1,13.21111111
2111,ULK1,0.633333333
2112,ULK2,0.6
2113,UPP1,19.12777778
2114,UQCC1,13.02777778
2115,USF1,1.605555556
2116,USF2,11.21111111
2117,USP1,12.61666667
2118,USP10,67.33333333
2119,USP34,2.294444444
2120,USP4,57.77777778
2121,USP6,0.022222222
2122,USP7,3.672222222
2123,USP9X,3.216666667
2124,UST,0.411111111
2125,UTP14A,11.93333333
2126,UTRN,38.14444444
2127,UVRAG,9.361111111
2128,VAC14,2.3
2129,VASP,7.494444444
2130,VAV1,17.4
2131,VAV2,0.511111111
2132,VAV3,1.288888889
2133,VCAM1,0.061111111
2134,VCAN,16.93888889
2135,VCL,9.933333333
2136,VCP,43.41666667
2137,VDR,1.333333333
2138,VEGFA,0.016666667
2139,VEGFB,5.161111111
2140,VEPH1,0.027777778
2141,VGLL4,6.061111111
2142,VHL,1.322222222
2143,VIM,310.8666667
2144,VMP1,196.5777778
2145,VOPP1,24.45555556
2146,VPS13A,0.883333333
2147,VPS13D,0.872222222
2148,VPS33B,5.5
2149,VPS53,2.744444444
2150,VPS8,6.816666667
2151,VRK1,25.96666667
2152,VRK2,18.52777778
2153,VTN,0.044444444
2154,VWA5A,6.627777778
2155,VWF,0.005555556
2156,WARS,275.3444444
2157,WASF1,0.95
2158,WASF2,40.58333333
2159,WASL,1.383333333
2160,WDFY3,0.1
2161,WEE1,1.477777778
2162,WNK1,2.222222222
2163,WNT1,0.916666667
2164,WRN,0.905555556
2165,WWC1,0.005555556
2166,WWTR1,0.127777778
2167,XAF1,5.883333333
2168,XPA,23.48333333
2169,XPC,16.87222222
2170,XPO1,3.905555556
2171,XRCC5,140.4222222
2172,XRCC6,220.9888889
2173,XXYLT1,1.894444444
2174,XYLT1,0.166666667
2175,YBX3,1.322222222
2176,YES1,1.344444444
2177,YWHAB,82.99444444
2178,YWHAE,51.60555556
2179,YWHAG,1.105555556
2180,YWHAH,11.07222222
2181,YWHAQ,137.2333333
2182,YWHAZ,381.6666667
2183,YY1,5.65
2184,ZBTB16,5.522222222
2185,ZBTB20,5.616666667
2186,ZBTB7B,0.666666667
2187,ZBTB7C,0.155555556
2188,ZC3HAV1,36.85555556
2189,ZCCHC2,0.333333333
2190,ZDHHC14,0.122222222
2191,ZEB2,14.03333333
2192,ZFP1,1.15
2193,ZFP30,1.061111111
2194,ZFP36,56.35
2195,ZFP36L1,264.6666667
2196,ZFYVE9,0.044444444
2197,ZMAT3,1.022222222
2198,ZMIZ1,1.411111111
2199,ZMYND8,10.69444444
2200,ZNF107,4.133333333
2201,ZNF112,0.044444444
2202,ZNF114,0.466666667
2203,ZNF12,1.2
2204,ZNF124,7.183333333
2205,ZNF140,11.24444444
2206,ZNF148,19.4
2207,ZNF155,4.388888889
2208,ZNF157,0.122222222
2209,ZNF169,2.677777778
2210,ZNF175,0.35
2211,ZNF181,7.744444444
2212,ZNF184,5.416666667
2213,ZNF19,1.077777778
2214,ZNF200,9.638888889
2215,ZNF205,0.205555556
2216,ZNF222,4.122222222
2217,ZNF226,18.76111111
2218,ZNF227,8.544444444
2219,ZNF23,1.188888889
2220,ZNF230,3.766666667
2221,ZNF235,4.883333333
2222,ZNF25,1.483333333
2223,ZNF251,0.511111111
2224,ZNF254,2.494444444
2225,ZNF263,3.077777778
2226,ZNF267,17.16666667
2227,ZNF268,6.911111111
2228,ZNF273,0.511111111
2229,ZNF282,0.477777778
2230,ZNF302,14.25
2231,ZNF331,7.055555556
2232,ZNF333,3.455555556
2233,ZNF337,3.277777778
2234,ZNF33B,9.755555556
2235,ZNF343,2.483333333
2236,ZNF354A,5.111111111
2237,ZNF365,1.183333333
2238,ZNF367,0.066666667
2239,ZNF385D,0.005555556
2240,ZNF398,0.955555556
2241,ZNF407,0.822222222
2242,ZNF41,2.572222222
2243,ZNF417,2.666666667
2244,ZNF418,1.216666667
2245,ZNF419,5.844444444
2246,ZNF425,1.45
2247,ZNF460,0.638888889
2248,ZNF490,0.911111111
2249,ZNF496,0.555555556
2250,ZNF510,2.266666667
2251,ZNF519,0.216666667
2252,ZNF529,1.822222222
2253,ZNF546,0.655555556
2254,ZNF550,2.716666667
2255,ZNF567,4.027777778
2256,ZNF585A,28.10555556
2257,ZNF589,2.688888889
2258,ZNF596,2.027777778
2259,ZNF599,2.111111111
2260,ZNF608,0.205555556
2261,ZNF613,6.388888889
2262,ZNF619,0.8
2263,ZNF630,0.766666667
2264,ZNF655,42.32222222
2265,ZNF669,4.283333333
2266,ZNF670,1.655555556
2267,ZNF680,1.461111111
2268,ZNF689,4.233333333
2269,ZNF713,0.622222222
2270,ZNF721,11.72222222
2271,ZNF746,0.805555556
2272,ZNF764,2.527777778
2273,ZNF777,0.005555556
2274,ZNF778,1.505555556
2275,ZNF782,0.094444444
2276,ZNF786,5.822222222
2277,ZNF79,4.438888889
2278,ZNF8,0.4
2279,ZNF81,1.155555556
2280,ZNF84,6.661111111
2281,ZNF860,0.455555556
2282,ZNF878,0.011111111
2283,ZNF879,3.966666667
2284,ZNRF1,0.4
2285,ZPLD1,0.027777778
2286,ZSWIM6,0.444444444
