Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean
412,CTCF,3.744444444
413,CTGF,0.416666667
414,CTNNA1,11.34444444
415,CTNNB1,8.3
416,CTNND1,3.094444444
417,CTSB,371.8611111
418,CTSD,139.8055556
419,CTSG,2.005555556
420,CTSH,37.64444444
421,CTSL,15.26111111
422,CTTN,0.344444444
423,CUBN,0.033333333
424,CUEDC1,1.5
425,CUL1,21.56111111
426,CUX1,6.366666667
427,CX3CL1,0.033333333
428,CXCL1,1.622222222
429,CXCL10,5.411111111
430,CXCL11,0.022222222
431,CXCL12,0.016666667
432,CXCL2,0.144444444
433,CXCL3,0.005555556
434,CXCL5,0.011111111
435,CXCL8,15.99444444
436,CXCL9,0.033333333
437,CXCR5,7.883333333
438,CXorf36,0.011111111
439,CYLD,21.94444444
440,CYP19A1,0.005555556
441,CYP24A1,0.022222222
442,CYP27B1,0.038888889
443,CYTH1,61.94444444
444,CYTH4,48.22777778
445,DAAM1,4.8
446,DAB2,4.038888889
447,DAB2IP,0.027777778
448,DAG1,0.811111111
449,DAP3,112.7222222
450,DAPK1,2.727777778
451,DAPK2,16.66111111
452,DAPK3,17.93888889
453,DAPP1,57.49444444
454,DAXX,15.85
455,DBF4,0.172222222
456,DBI,464.2166667
457,DBNL,223.2333333
458,DCDC1,0.011111111
459,DCN,1.733333333
460,DCP1B,6.283333333
461,DCUN1D3,0.45
462,DDB1,35.28888889
463,DDB2,14.00555556
464,DDIT4,156.4277778
465,DDR1,0.055555556
466,DDR2,0.011111111
467,DDX50,15.9
468,DDX58,8.183333333
469,DDX60L,4.827777778
470,DENND1A,4.944444444
471,DENND1B,0.822222222
472,DENND3,6.061111111
473,DEPTOR,1.394444444
474,DERA,30.02777778
475,DGKG,0.466666667
476,DHRS3,31
477,DHX58,4.305555556
478,DIABLO,16.90277778
479,DIAPH1,15.56666667
480,DIS3L2,3.794444444
481,DLC1,0.188888889
482,DLG1,0.605555556
483,DLG2,0.005555556
484,DLL1,0.283333333
485,DMAP1,24.66666667
486,DMXL2,0.722222222
487,DNAJA3,6.194444444
488,DNAJB12,14.54444444
489,DNAJC5,2.594444444
490,DNM1L,7.661111111
491,DNM2,4.266666667
492,DNMT1,18.96111111
493,DOCK1,0.044444444
494,DOCK10,6.283333333
495,DOCK4,0.144444444
496,DOCK5,3.061111111
497,DOK1,10.86111111
498,DOK4,0.083333333
499,DPM1,17.22777778
500,DPP4,6.011111111
501,DPYD,17.21111111
502,DPYSL2,18.32222222
503,DSE,1.105555556
504,DST,0.322222222
505,DTNA,0.933333333
506,DTNB,3.005555556
507,DTNBP1,15.66666667
508,DTWD1,10.2
509,DTX1,0.033333333
510,DTX3L,10.32222222
511,DUOX2,0.005555556
512,DUSP1,519.4611111
513,DUSP10,4.105555556
514,DUSP11,54.13888889
515,DUSP16,0.572222222
516,DUSP19,0.488888889
517,DUSP22,16.21666667
518,DUSP26,0.005555556
519,DUSP3,7.266666667
520,DUSP4,0.394444444
521,DUSP5,1.838888889
522,DUSP6,202.0277778
523,DUSP7,3.983333333
524,DVL1,0.15
525,DVL2,6.466666667
526,DVL3,0.572222222
527,DYM,18.44444444
528,DYNC2H1,0.116666667
529,DYRK1A,1.005555556
530,DYRK2,1.933333333
531,E2F1,0.15
532,E2F2,0.455555556
533,E2F3,1.838888889
534,E2F4,6.9
535,E2F6,0.294444444
536,E2F7,0.133333333
537,EARS2,2.861111111
538,EBI3,1.672222222
539,ECE1,4.888888889
540,ECSIT,23.20555556
541,EDEM2,47.20555556
542,EDN1,0.266666667
543,EEF1A1,6241.944444
544,EEF2K,0.111111111
545,EFCAB2,1.611111111
546,EFCAB5,0.394444444
547,EFHC1,1.116666667
548,EFNA5,0.205555556
549,EGF,0.011111111
550,EGLN3,1.7
551,EGR1,0.727777778
552,EGR2,0.411111111
553,EHD1,26.06666667
554,EHF,0.083333333
555,EHMT2,0.011111111
556,EI24,6.338888889
557,EIF2A,34.22222222
558,EIF2AK1,6.844444444
559,EIF2AK2,13.43333333
560,EIF2AK3,0.694444444
561,EIF2AK4,11.46111111
562,EIF2S1,45.17222222
563,EIF3H,292.7277778
564,EIF4B,80.24444444
565,EIF4E,35.97777778
566,EIF4EBP1,72.14444444
567,EIF4G2,271.3277778
568,ELAVL1,19.76111111
569,ELF1,74.26111111
570,ELF3,0.016666667
571,ELF4,4.288888889
572,ELF5,0.05
573,ELK1,5.361111111
574,ELL,4.272222222
575,ELMO1,32.51666667
576,ELMSAN1,0.4
577,ELP1,6.194444444
578,ELP3,16.77777778
579,EMC2,18.71111111
580,EMCN,0.016666667
581,EML2,4.15
582,ENAH,0.016666667
583,ENC1,0.744444444
584,ENOX2,9.616666667
585,ENPP2,3.772222222
586,ENTPD1,16.86666667
587,EP300,1.727777778
588,EP400,1.216666667
589,EPAS1,1.311111111
590,EPB41L2,2.2
591,EPB41L3,1.244444444
592,EPCAM,0.011111111
593,EPHA1,0.494444444
594,EPHA2,0.477777778
595,EPHA4,0.938888889
596,EPHB2,0.044444444
597,EPHB3,0.044444444
598,EPHB4,0.311111111
599,EPOR,2.922222222
600,EPS15,10.15
601,EPS8,2.411111111
602,EPSTI1,21.95
603,ERAP1,16.16111111
604,ERBB2,0.744444444
605,ERBB3,0.316666667
606,ERBIN,4.366666667
607,ERC1,1.294444444
608,ERCC1,69.26111111
609,ERCC5,16.66666667
610,ERCC6,3.883333333
611,EREG,0.083333333
612,ERG,0.016666667
613,ERGIC1,6.577777778
614,ERN1,3.144444444
615,ERRFI1,0.194444444
616,ESR1,0.055555556
617,ESR2,0.205555556
618,ESYT2,2.844444444
619,ETS1,15.63333333
620,ETS2,8.677777778
621,ETV3,3.627777778
622,ETV6,2.883333333
623,ETV7,3.005555556
624,EVL,13.73333333
625,EXOC4,9.661111111
626,EXOC6,5.188888889
627,EXT1,0.405555556
628,EZH2,2.011111111
629,EZR,169.5166667
630,F2R,4.444444444
631,F3,0.05
632,F5,1.261111111
633,F8,3.016666667
634,FAF1,3.116666667
635,FAM111A,2.583333333
636,FAM129A,6.705555556
637,FAM129B,0.116666667
638,FAM13A,1.094444444
639,FAM171A1,1.05
640,FAM172A,6.2
641,FAM19A2,2.494444444
642,FAM49B,172.3444444
643,FAM78A,7.95
644,FANCG,3.85
645,FAS,21.04444444
646,FASLG,11.7
647,FBLN1,0.255555556
648,FBLN2,0.677777778
649,FBP1,46.86111111
650,FBXL17,0.255555556
651,FBXO11,1.577777778
652,FBXO31,0.277777778
653,FBXO5,3.305555556
654,FBXW11,6.9
655,FBXW7,3.861111111
656,FCER1A,1021.172222
657,FCER1G,1249.366667
658,FCER2,30.61666667
659,FCGR1A,11.81666667
660,FCGR2A,146.5333333
661,FCGRT,368.6055556
662,FCHSD2,8.911111111
663,FCRL5,1.194444444
664,FDPS,76.5
665,FDXR,4.8
666,FEN1,11.97222222
667,FER,2.266666667
668,FES,46.59444444
669,FGF1,0.133333333
670,FGF14,0.011111111
671,FGF8,0.511111111
672,FGFR1,0.755555556
673,FGFR2,0.638888889
674,FGFR4,0.061111111
675,FGGY,2.277777778
676,FGR,130.9777778
677,FHAD1,0.161111111
678,FHIT,9.666666667
679,FHL2,1.027777778
680,FILIP1L,0.427777778
681,FKBP1A,332.1277778
682,FKBP5,60.36666667
683,FKBP8,17.53888889
684,FLI1,10.28888889
685,FLNA,19.21666667
686,FLNB,3.305555556
687,FLT1,0.083333333
688,FLT3,5.166666667
689,FLT4,0.3
690,FMN1,0.083333333
691,FMR1,2.033333333
692,FNBP1,7.522222222
693,FNDC3B,4.966666667
694,FNIP2,0.816666667
695,FNTA,8.627777778
696,FOCAD,2.45
697,FOS,32.03333333
698,FOSL2,5.394444444
699,FOXC1,0.005555556
700,FOXJ3,6.783333333
701,FOXK1,1.25
702,FOXM1,0.016666667
703,FOXN3,25.45
704,FOXO1,1.394444444
705,FOXO3,3.138888889
706,FOXP1,27.21666667
707,FPR2,55.74444444
708,FRK,0.327777778
709,FRMD3,0.538888889
710,FRMD4B,6.883333333
711,FRMD5,0.055555556
712,FRMD6,0.127777778
713,FRS2,2.816666667
714,FRY,1.477777778
715,FRYL,1.872222222
716,FSCN1,0.15
717,FST,0.022222222
718,FTO,18.18333333
719,FURIN,1.938888889
720,FUS,30.36666667
721,FYB1,206.8611111
722,FYN,45.78888889
723,FZR1,0.716666667
724,G3BP1,58.25
725,GAB1,1.011111111
726,GAB2,2
727,GABBR2,0.033333333
728,GABPA,4.688888889
729,GADD45A,6.105555556
730,GADD45B,41.93888889
731,GADD45G,0.25
732,GALNT10,1.655555556
733,GALNT2,4.733333333
734,GAPDH,1368.222222
735,GAS6,4.361111111
736,GAS7,4.044444444
737,GATA1,23.99444444
738,GATA3,12.82222222
739,GATAD2A,2.433333333
740,GBP1,51.89444444
741,GCK,0.255555556
742,GCLC,0.933333333
743,GCNT2,0.322222222
744,GDF15,0.277777778
745,GDF9,0.011111111
746,GDNF,0.005555556
747,GEM,0.083333333
748,GFAP,0.694444444
749,GFI1B,27.43888889
750,GHR,0.016666667
751,GIT1,1.377777778
752,GLI1,0.155555556
753,GLIPR2,150.6166667
754,GLIS3,0.027777778
755,GLRX,261.4944444
756,GLS,3.083333333
757,GM2A,10.67777778
758,GMDS,7.394444444
759,GML,0.061111111
760,GNA11,0.966666667
761,GNA12,0.5
762,GNA13,6.466666667
763,GNA14,1.133333333
764,GNA15,10.81666667
765,GNAI1,2.677777778
766,GNAI2,23.58888889
767,GNAI3,8.172222222
768,GNAQ,3.538888889
769,GNAS,45.24444444
770,GNAZ,0.111111111
771,GNB2,24.20555556
772,GNB3,0.005555556
773,GNB5,16.91666667
774,GNG2,98.81111111
775,GNG4,0.166666667
776,GNRHR,0.005555556
777,GOLPH3,8.1
778,GORASP1,2.9
779,GPATCH2,2.322222222
780,GPC3,0.238888889
781,GPC6,0.022222222
782,GPCPD1,3.983333333
783,GPD2,0.838888889
784,GPNMB,0.377777778
785,GPR107,1.355555556
786,GPR132,4.994444444
787,GPR141,2.772222222
788,GPR146,8.416666667
789,GRAMD1A,5.055555556
790,GRAMD1B,1.2
791,GRAP2,17.93888889
792,GRB10,0.65
793,GRB2,86.75555556
794,GRB7,0.011111111
795,GREB1,0.116666667
796,GRIK2,0.122222222
797,GRK2,10.30555556
798,GRK5,4.1
799,GRK6,23.4
800,GRM5,0.005555556
801,GRN,372.3166667
802,GSAP,6.688888889
803,GSE1,0.994444444
804,GSK3A,0.277777778
805,GSK3B,1.777777778
806,GSN,152.1611111
807,GSTK1,315.1166667
808,GSTP1,861.2055556
809,GTDC1,4.455555556
810,GTF2H1,9.177777778
811,GTF2I,11.68333333
812,GULP1,0.033333333
813,GZMB,494.1333333
814,H2AFX,1.35
815,HABP4,0.538888889
816,HAMP,0.311111111
817,HBEGF,0.283333333
818,HBP1,48.22222222
819,HCFC1,1.983333333
820,HCK,217.5888889
821,HDAC1,110.5111111
822,HDAC2,32.8
823,HDAC3,40.45
824,HDAC4,5.516666667
825,HDAC6,4.205555556
826,HDAC7,0.816666667
827,HDAC9,11.91111111
828,HERC1,6.338888889
829,HERC2,0.011111111
830,HGF,6.911111111
831,HHAT,0.583333333
832,HIC1,0.122222222
833,HIF1A,22.83888889
834,HIPK2,1.877777778
835,HIPK3,5.755555556
836,HIST1H2AM,13.57222222
837,HIST1H2BB,1.55
838,HIST1H3C,0.3
839,HIST2H2AC,28.44444444
840,HIVEP1,2.911111111
841,HIVEP2,0.622222222
842,HIVEP3,0.25
843,HK1,47.8
844,HK2,5.722222222
845,HLA-A,113.6666667
846,HLA-B,283.9444444
847,HLA-DMA,1.483333333
848,HLA-DMB,7.894444444
849,HLA-DOA,1.822222222
850,HLA-DOB,17.11111111
