Table S6: IEI Candidate Genes with Average in Myeloid Cells > 1 TPM Filter,CellType,Gene,mean
1429,Myeloid,WARS,702.45
1430,Myeloid,WASF2,60.45
1431,Myeloid,WASL,1.35
1432,Myeloid,WNK1,2.483333333
1433,Myeloid,XAF1,7.966666667
1434,Myeloid,XPA,14.75
1435,Myeloid,XPC,18.98333333
1436,Myeloid,XPO1,4.9
1437,Myeloid,XRCC5,149.5833333
1438,Myeloid,XRCC6,174.0666667
1439,Myeloid,XXYLT1,1.683333333
1440,Myeloid,YBX3,1.616666667
1441,Myeloid,YES1,2.383333333
1442,Myeloid,YWHAB,93.15
1443,Myeloid,YWHAE,54.4
1444,Myeloid,YWHAG,1.166666667
1445,Myeloid,YWHAH,12.63333333
1446,Myeloid,YWHAQ,82.66666667
1447,Myeloid,YWHAZ,442.2
1448,Myeloid,YY1,5.516666667
1449,Myeloid,ZBTB16,1.066666667
1450,Myeloid,ZBTB20,3.85
1451,Myeloid,ZBTB7B,1.016666667
1452,Myeloid,ZC3HAV1,29.76666667
1453,Myeloid,ZEB2,23.8
1454,Myeloid,ZFP36,92.7
1455,Myeloid,ZFP36L1,447.4333333
1456,Myeloid,ZMIZ1,1.916666667
1457,Myeloid,ZMYND8,10.66666667
1458,Myeloid,ZNF107,3.7
1459,Myeloid,ZNF12,1.166666667
1460,Myeloid,ZNF124,6.45
1461,Myeloid,ZNF140,8.45
1462,Myeloid,ZNF148,17.88333333
1463,Myeloid,ZNF155,3.9
1464,Myeloid,ZNF169,2.316666667
1465,Myeloid,ZNF181,4.833333333
1466,Myeloid,ZNF184,2.85
1467,Myeloid,ZNF200,11.31666667
1468,Myeloid,ZNF222,3.15
1469,Myeloid,ZNF226,14.03333333
1470,Myeloid,ZNF227,5.566666667
1471,Myeloid,ZNF230,4.583333333
1472,Myeloid,ZNF235,4.116666667
1473,Myeloid,ZNF25,1.95
1474,Myeloid,ZNF254,2.666666667
1475,Myeloid,ZNF263,2.416666667
1476,Myeloid,ZNF267,25.55
1477,Myeloid,ZNF268,3.95
1478,Myeloid,ZNF302,10.03333333
1479,Myeloid,ZNF331,3.866666667
1480,Myeloid,ZNF333,3.716666667
1481,Myeloid,ZNF337,1.466666667
1482,Myeloid,ZNF33B,5.883333333
1483,Myeloid,ZNF343,1.583333333
1484,Myeloid,ZNF354A,6.433333333
1485,Myeloid,ZNF398,1.033333333
1486,Myeloid,ZNF41,1.633333333
1487,Myeloid,ZNF417,2.7
1488,Myeloid,ZNF419,2.966666667
1489,Myeloid,ZNF510,1.2
1490,Myeloid,ZNF529,1.133333333
1491,Myeloid,ZNF550,1.083333333
1492,Myeloid,ZNF567,2.266666667
1493,Myeloid,ZNF585A,29.75
1494,Myeloid,ZNF589,1.4
1495,Myeloid,ZNF596,1.6
1496,Myeloid,ZNF599,1.516666667
1497,Myeloid,ZNF613,5.766666667
1498,Myeloid,ZNF655,50.7
1499,Myeloid,ZNF669,3.85
1500,Myeloid,ZNF689,3.833333333
1501,Myeloid,ZNF713,1.05
1502,Myeloid,ZNF721,8.1
1503,Myeloid,ZNF746,1.383333333
1504,Myeloid,ZNF764,1.716666667
1505,Myeloid,ZNF778,2.116666667
1506,Myeloid,ZNF786,2.583333333
1507,Myeloid,ZNF79,2.916666667
1508,Myeloid,ZNF81,1.5
1509,Myeloid,ZNF84,2.766666667
1510,Myeloid,ZNF879,3.55
