Table S6: IEI Candidate Genes with Average in Myeloid Cells > 1 TPM Filter,CellType,Gene,mean
273,Myeloid,CREB1,26.73333333
274,Myeloid,CREB5,27.23333333
275,Myeloid,CREBBP,1.9
276,Myeloid,CREM,5.166666667
277,Myeloid,CRK,4.8
278,Myeloid,CRKL,14.38333333
279,Myeloid,CSF1,4.25
280,Myeloid,CSF1R,162.9833333
281,Myeloid,CSGALNACT1,5.716666667
282,Myeloid,CSK,100.2333333
283,Myeloid,CSNK1A1,59.65
284,Myeloid,CSNK1D,18.9
285,Myeloid,CSNK1E,1.983333333
286,Myeloid,CSNK2A1,22.75
287,Myeloid,CSNK2A2,8.083333333
288,Myeloid,CSNK2B,15.98333333
289,Myeloid,CSRP1,36.63333333
290,Myeloid,CTBP1,14.11666667
291,Myeloid,CTCF,3.45
292,Myeloid,CTNNA1,21.13333333
293,Myeloid,CTNNB1,6.683333333
294,Myeloid,CTNND1,5.833333333
295,Myeloid,CTSB,648.9833333
296,Myeloid,CTSD,229.35
297,Myeloid,CTSG,1.933333333
298,Myeloid,CTSH,53.81666667
299,Myeloid,CTSL,41.2
300,Myeloid,CUEDC1,1.066666667
301,Myeloid,CUL1,16.45
302,Myeloid,CUX1,9.983333333
303,Myeloid,CXCL1,4.866666667
304,Myeloid,CXCL10,15.55
305,Myeloid,CXCL8,47.98333333
306,Myeloid,CYLD,25.5
307,Myeloid,CYTH1,58.85
308,Myeloid,CYTH4,69.75
309,Myeloid,DAAM1,2.983333333
310,Myeloid,DAB2,2.166666667
311,Myeloid,DAP3,71.6
312,Myeloid,DAPK1,6.466666667
313,Myeloid,DAPK2,46.63333333
314,Myeloid,DAPK3,19.2
315,Myeloid,DAPP1,87.91666667
316,Myeloid,DAXX,10.88333333
317,Myeloid,DBI,497.2833333
318,Myeloid,DBNL,283.3333333
319,Myeloid,DCN,4.266666667
320,Myeloid,DCP1B,2.2
321,Myeloid,DDB1,27.45
322,Myeloid,DDB2,11.05
323,Myeloid,DDIT4,27.23333333
324,Myeloid,DDX50,9.533333333
325,Myeloid,DDX58,11.18333333
326,Myeloid,DDX60L,8.5
327,Myeloid,DENND1A,11.03333333
328,Myeloid,DENND3,15.53333333
329,Myeloid,DERA,35.95
330,Myeloid,DGKG,1.1
331,Myeloid,DHRS3,2.166666667
332,Myeloid,DHX58,5.116666667
333,Myeloid,DIABLO,14.25833333
334,Myeloid,DIAPH1,14.11666667
335,Myeloid,DIS3L2,2.066666667
336,Myeloid,DMAP1,18
337,Myeloid,DMXL2,1.8
338,Myeloid,DNAJA3,2.85
339,Myeloid,DNAJB12,20.01666667
340,Myeloid,DNAJC5,2.633333333
341,Myeloid,DNM1L,7.866666667
342,Myeloid,DNM2,4.65
343,Myeloid,DNMT1,11.78333333
344,Myeloid,DOCK10,3.7
345,Myeloid,DOCK5,8.466666667
346,Myeloid,DOK1,17.46666667
347,Myeloid,DPM1,14.15
348,Myeloid,DPYD,27.26666667
349,Myeloid,DPYSL2,26.4
350,Myeloid,DSE,1.083333333
351,Myeloid,DTNB,1.633333333
352,Myeloid,DTNBP1,8.933333333
353,Myeloid,DTWD1,7.316666667
354,Myeloid,DTX3L,13.81666667
355,Myeloid,DUSP1,1389.35
356,Myeloid,DUSP10,2.55
357,Myeloid,DUSP11,45.68333333
358,Myeloid,DUSP22,20.23333333
359,Myeloid,DUSP3,11.65
360,Myeloid,DUSP5,1.766666667
361,Myeloid,DUSP6,579.5166667
362,Myeloid,DUSP7,3.766666667
363,Myeloid,DVL2,5.05
364,Myeloid,DYM,17.76666667
365,Myeloid,DYRK1A,1.05
366,Myeloid,DYRK2,1.166666667
367,Myeloid,E2F3,2.35
368,Myeloid,E2F4,6.583333333
369,Myeloid,EARS2,1.35
370,Myeloid,EBI3,1.483333333
371,Myeloid,ECE1,7.366666667
372,Myeloid,ECSIT,16.71666667
373,Myeloid,EDEM2,53.21666667
374,Myeloid,EEF1A1,3116.2
375,Myeloid,EFCAB2,1.35
376,Myeloid,EGR1,1.883333333
377,Myeloid,EHD1,31.01666667
378,Myeloid,EI24,3.916666667
379,Myeloid,EIF2A,26.11666667
380,Myeloid,EIF2AK1,6.616666667
381,Myeloid,EIF2AK2,18.1
382,Myeloid,EIF2AK4,9.283333333
383,Myeloid,EIF2S1,35.73333333
384,Myeloid,EIF3H,192
385,Myeloid,EIF4B,44.3
386,Myeloid,EIF4E,32.28333333
387,Myeloid,EIF4EBP1,117.0333333
388,Myeloid,EIF4G2,324.4
389,Myeloid,ELAVL1,17.78333333
390,Myeloid,ELF1,92.41666667
391,Myeloid,ELF4,4.05
392,Myeloid,ELK1,3.916666667
393,Myeloid,ELL,4.6
394,Myeloid,ELMO1,40.33333333
395,Myeloid,ELP1,9.333333333
396,Myeloid,ELP3,12.28333333
397,Myeloid,EMC2,19.65
398,Myeloid,EML2,3.833333333
399,Myeloid,ENC1,1.116666667
400,Myeloid,ENOX2,8.7
401,Myeloid,ENPP2,9.166666667
402,Myeloid,ENTPD1,37.61666667
403,Myeloid,EP300,1.833333333
404,Myeloid,EPAS1,3.716666667
405,Myeloid,EPB41L2,2.1
406,Myeloid,EPB41L3,3.316666667
407,Myeloid,EPOR,4.633333333
408,Myeloid,EPS15,9.3
409,Myeloid,EPS8,5.5
410,Myeloid,EPSTI1,29.95
