Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean
253,T cell,CREB1,25.97142857
254,T cell,CREBBP,1.014285714
255,T cell,CREM,11.68571429
256,T cell,CRK,2.842857143
257,T cell,CRKL,17.42857143
258,T cell,CSGALNACT1,20.57142857
259,T cell,CSK,66.65714286
260,T cell,CSNK1A1,60.24285714
261,T cell,CSNK1D,10.07142857
262,T cell,CSNK1E,2.785714286
263,T cell,CSNK2A1,18.67142857
264,T cell,CSNK2A2,12.44285714
265,T cell,CSNK2B,14.95714286
266,T cell,CSRP1,31.08571429
267,T cell,CTBP1,23.54285714
268,T cell,CTCF,3.9
269,T cell,CTNNA1,4.328571429
270,T cell,CTNNB1,9.4
271,T cell,CTSB,101.9428571
272,T cell,CTSD,96.27142857
273,T cell,CTSG,1.071428571
274,T cell,CTSH,11.12857143
275,T cell,CTSL,3.071428571
276,T cell,CUL1,25.05714286
277,T cell,CUX1,2.671428571
278,T cell,CXCR5,2.585714286
279,T cell,CYLD,23.75714286
280,T cell,CYTH1,76.14285714
281,T cell,CYTH4,33.75714286
282,T cell,DAAM1,3.271428571
283,T cell,DAP3,150.0571429
284,T cell,DAPK2,1.071428571
285,T cell,DAPK3,17.88571429
286,T cell,DAPP1,13.04285714
287,T cell,DAXX,20.84285714
288,T cell,DBI,406.6285714
289,T cell,DBNL,153.3857143
290,T cell,DCP1B,11.41428571
291,T cell,DDB1,42.25714286
292,T cell,DDB2,20.24285714
293,T cell,DDIT4,236.8
294,T cell,DDX50,21.97142857
295,T cell,DDX58,8.042857143
296,T cell,DDX60L,3.9
297,T cell,DERA,19.32857143
298,T cell,DHRS3,65.68571429
299,T cell,DHX58,3.9
300,T cell,DIABLO,18.42142857
301,T cell,DIAPH1,21.45714286
302,T cell,DIS3L2,4.742857143
303,T cell,DMAP1,30
304,T cell,DNAJA3,8.828571429
305,T cell,DNAJB12,10.85714286
306,T cell,DNAJC5,2.814285714
307,T cell,DNM1L,6.971428571
308,T cell,DNM2,3.428571429
309,T cell,DNMT1,22.11428571
310,T cell,DOCK10,8.342857143
311,T cell,DOK1,5.9
312,T cell,DPM1,19.27142857
313,T cell,DPP4,13.9
314,T cell,DPYD,13.41428571
315,T cell,DPYSL2,6.828571429
316,T cell,DTNA,1.5
317,T cell,DTNB,4.471428571
318,T cell,DTNBP1,14.51428571
