Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean
1323,Dendritic Cell,TXNIP,217.3
1324,Dendritic Cell,TXNRD1,29.05
1325,Dendritic Cell,TYROBP,1600.95
1326,Dendritic Cell,UBA52,2154.45
1327,Dendritic Cell,UBB,2485.2
1328,Dendritic Cell,UBC,345.15
1329,Dendritic Cell,UBE2F,46.2
1330,Dendritic Cell,UBE2H,1.5
1331,Dendritic Cell,UBE2I,178
1332,Dendritic Cell,UBE2L3,90.9
1333,Dendritic Cell,UBE2N,93.55
1334,Dendritic Cell,UBR1,1.6
1335,Dendritic Cell,UHRF1,2.8
1336,Dendritic Cell,UIMC1,8.2
1337,Dendritic Cell,ULK1,1.85
1338,Dendritic Cell,UPP1,7.45
1339,Dendritic Cell,UQCC1,13.7
1340,Dendritic Cell,USF1,2.45
1341,Dendritic Cell,USF2,28.5
1342,Dendritic Cell,USP1,10.95
1343,Dendritic Cell,USP10,43.25
1344,Dendritic Cell,USP34,1.9
1345,Dendritic Cell,USP4,47.4
1346,Dendritic Cell,USP7,4.1
1347,Dendritic Cell,USP9X,2.8
1348,Dendritic Cell,UTP14A,11.25
1349,Dendritic Cell,UTRN,31.15
1350,Dendritic Cell,UVRAG,18.05
1351,Dendritic Cell,VAC14,4.1
1352,Dendritic Cell,VASP,3.05
1353,Dendritic Cell,VAV1,14.5
1354,Dendritic Cell,VAV3,1.85
1355,Dendritic Cell,VCAN,39.45
1356,Dendritic Cell,VCL,12.95
1357,Dendritic Cell,VCP,41.45
1358,Dendritic Cell,VDR,2.25
1359,Dendritic Cell,VEGFB,32.75
1360,Dendritic Cell,VGLL4,4.8
1361,Dendritic Cell,VHL,1.15
1362,Dendritic Cell,VIM,537.95
1363,Dendritic Cell,VMP1,86.45
1364,Dendritic Cell,VOPP1,24.15
1365,Dendritic Cell,VPS13A,1.1
1366,Dendritic Cell,VPS33B,5.05
1367,Dendritic Cell,VPS53,2.1
1368,Dendritic Cell,VPS8,4.6
1369,Dendritic Cell,VRK1,19.35
1370,Dendritic Cell,VRK2,22.95
1371,Dendritic Cell,VWA5A,5.45
1372,Dendritic Cell,WARS,181.5
1373,Dendritic Cell,WASF1,4.4
1374,Dendritic Cell,WASF2,46.5
1375,Dendritic Cell,WASL,1.55
1376,Dendritic Cell,WNK1,1.35
1377,Dendritic Cell,XAF1,3.65
1378,Dendritic Cell,XPA,28.1
1379,Dendritic Cell,XPC,11.55
1380,Dendritic Cell,XPO1,3.45
1381,Dendritic Cell,XRCC5,119.35
1382,Dendritic Cell,XRCC6,231.6
1383,Dendritic Cell,XXYLT1,5.85
1384,Dendritic Cell,YBX3,1.6
1385,Dendritic Cell,YWHAB,80.45
1386,Dendritic Cell,YWHAE,90.95
1387,Dendritic Cell,YWHAG,2.25
1388,Dendritic Cell,YWHAH,12.3
1389,Dendritic Cell,YWHAQ,96.3
1390,Dendritic Cell,YWHAZ,277.8
1391,Dendritic Cell,YY1,4.75
1392,Dendritic Cell,ZBTB20,3.25
1393,Dendritic Cell,ZC3HAV1,14.15
1394,Dendritic Cell,ZEB2,20.9
1395,Dendritic Cell,ZFP36,55.1
1396,Dendritic Cell,ZFP36L1,61.75
1397,Dendritic Cell,ZMIZ1,2.35
1398,Dendritic Cell,ZMYND8,9.95
1399,Dendritic Cell,ZNF107,1.85
1400,Dendritic Cell,ZNF124,8.95
1401,Dendritic Cell,ZNF140,7.25
1402,Dendritic Cell,ZNF148,10.9
1403,Dendritic Cell,ZNF155,2.9
1404,Dendritic Cell,ZNF169,2
1405,Dendritic Cell,ZNF181,5.7
1406,Dendritic Cell,ZNF184,2.95
1407,Dendritic Cell,ZNF200,4.8
1408,Dendritic Cell,ZNF222,2.5
1409,Dendritic Cell,ZNF226,16.75
1410,Dendritic Cell,ZNF227,5.55
1411,Dendritic Cell,ZNF23,1.3
1412,Dendritic Cell,ZNF230,2.55
1413,Dendritic Cell,ZNF235,4.9
1414,Dendritic Cell,ZNF254,2.2
1415,Dendritic Cell,ZNF263,2.7
1416,Dendritic Cell,ZNF267,12.05
1417,Dendritic Cell,ZNF268,6.25
1418,Dendritic Cell,ZNF302,12.75
1419,Dendritic Cell,ZNF331,4
1420,Dendritic Cell,ZNF333,2.6
1421,Dendritic Cell,ZNF337,2.8
1422,Dendritic Cell,ZNF33B,7.8
1423,Dendritic Cell,ZNF343,2.55
1424,Dendritic Cell,ZNF354A,3.35
1425,Dendritic Cell,ZNF41,2.7
1426,Dendritic Cell,ZNF417,2.25
1427,Dendritic Cell,ZNF418,1.35
1428,Dendritic Cell,ZNF419,3.35
1429,Dendritic Cell,ZNF425,1.25
1430,Dendritic Cell,ZNF529,1.15
1431,Dendritic Cell,ZNF550,1.4
1432,Dendritic Cell,ZNF567,2.35
1433,Dendritic Cell,ZNF585A,20.1
1434,Dendritic Cell,ZNF589,6.05
1435,Dendritic Cell,ZNF596,1.75
1436,Dendritic Cell,ZNF599,1.5
1437,Dendritic Cell,ZNF613,4.8
1438,Dendritic Cell,ZNF655,28.3
1439,Dendritic Cell,ZNF669,3.25
1440,Dendritic Cell,ZNF670,1.7
1441,Dendritic Cell,ZNF689,5.25
1442,Dendritic Cell,ZNF721,9
1443,Dendritic Cell,ZNF764,1.7
1444,Dendritic Cell,ZNF786,3.8
1445,Dendritic Cell,ZNF79,4.4
1446,Dendritic Cell,ZNF81,1.15
1447,Dendritic Cell,ZNF84,6.4
1448,Dendritic Cell,ZNF879,2.6
