Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean
373,Dendritic Cell,ELP3,14.4
374,Dendritic Cell,EMC2,18
375,Dendritic Cell,EML2,4.8
376,Dendritic Cell,ENOX2,7.85
377,Dendritic Cell,ENPP2,3.75
378,Dendritic Cell,ENTPD1,17
379,Dendritic Cell,EP300,1.7
380,Dendritic Cell,EP400,2.45
381,Dendritic Cell,EPB41L2,4.6
382,Dendritic Cell,EPB41L3,1.05
383,Dendritic Cell,EPHA2,4.3
384,Dendritic Cell,EPS15,7.95
385,Dendritic Cell,EPS8,2.6
386,Dendritic Cell,EPSTI1,15.25
387,Dendritic Cell,ERAP1,12.65
388,Dendritic Cell,ERBIN,2.6
389,Dendritic Cell,ERC1,1.3
390,Dendritic Cell,ERCC1,205.35
391,Dendritic Cell,ERCC5,10.8
392,Dendritic Cell,ERCC6,3.1
393,Dendritic Cell,ERGIC1,4.25
394,Dendritic Cell,ERN1,3.25
395,Dendritic Cell,ESYT2,2.05
396,Dendritic Cell,ETS1,2.95
397,Dendritic Cell,ETS2,16.85
398,Dendritic Cell,ETV3,2.6
399,Dendritic Cell,ETV6,4.1
400,Dendritic Cell,EVL,2.35
401,Dendritic Cell,EXOC4,10.65
402,Dendritic Cell,EXOC6,7.1
403,Dendritic Cell,EZH2,2
404,Dendritic Cell,EZR,116.55
405,Dendritic Cell,F8,1.25
406,Dendritic Cell,FAF1,2.95
407,Dendritic Cell,FAM111A,2
408,Dendritic Cell,FAM129A,2.5
409,Dendritic Cell,FAM13A,2.05
410,Dendritic Cell,FAM172A,4.8
411,Dendritic Cell,FAM49B,205.45
412,Dendritic Cell,FAM78A,3.85
413,Dendritic Cell,FANCG,2.55
414,Dendritic Cell,FAS,5.7
415,Dendritic Cell,FBLN2,3.1
416,Dendritic Cell,FBP1,54.5
417,Dendritic Cell,FBXO11,1.5
418,Dendritic Cell,FBXO5,3.6
419,Dendritic Cell,FBXW11,7.25
420,Dendritic Cell,FBXW7,1.9
421,Dendritic Cell,FCER1A,1310.6
422,Dendritic Cell,FCER1G,2577.65
423,Dendritic Cell,FCER2,2.2
424,Dendritic Cell,FCGR1A,13.05
425,Dendritic Cell,FCGR2A,41.15
426,Dendritic Cell,FCGRT,673
427,Dendritic Cell,FCHSD2,19.5
428,Dendritic Cell,FDPS,76.6
429,Dendritic Cell,FDXR,3.75
430,Dendritic Cell,FEN1,13.45
431,Dendritic Cell,FER,2.95
432,Dendritic Cell,FES,98.15
433,Dendritic Cell,FGGY,1.45
434,Dendritic Cell,FGR,89.65
435,Dendritic Cell,FHIT,5.4
436,Dendritic Cell,FILIP1L,1.05
437,Dendritic Cell,FKBP1A,439.85
438,Dendritic Cell,FKBP5,61
439,Dendritic Cell,FKBP8,9.95
440,Dendritic Cell,FLI1,9.45
441,Dendritic Cell,FLNA,13.8
442,Dendritic Cell,FLNB,9.05
443,Dendritic Cell,FLT3,41.1
444,Dendritic Cell,FMR1,1.35
445,Dendritic Cell,FNBP1,5.8
446,Dendritic Cell,FNDC3B,2.35
447,Dendritic Cell,FNIP2,1.1
448,Dendritic Cell,FNTA,10.35
449,Dendritic Cell,FOCAD,2.5
450,Dendritic Cell,FOS,30.6
451,Dendritic Cell,FOSL2,2.35
452,Dendritic Cell,FOXJ3,5.65
453,Dendritic Cell,FOXN3,19
454,Dendritic Cell,FOXO3,2.05
455,Dendritic Cell,FOXP1,15.2
456,Dendritic Cell,FPR2,8.4
457,Dendritic Cell,FRMD4B,14.65
458,Dendritic Cell,FRS2,2.45
459,Dendritic Cell,FRYL,1.15
460,Dendritic Cell,FTO,14.7
461,Dendritic Cell,FURIN,2
462,Dendritic Cell,FUS,34.1
463,Dendritic Cell,FYB1,68
464,Dendritic Cell,FYN,5.2
465,Dendritic Cell,G3BP1,46.9
466,Dendritic Cell,GAB1,1.3
467,Dendritic Cell,GAB2,1.4
468,Dendritic Cell,GABPA,2.8
469,Dendritic Cell,GADD45A,2.8
470,Dendritic Cell,GADD45B,31.55
471,Dendritic Cell,GALNT10,1.15
472,Dendritic Cell,GALNT2,9.65
473,Dendritic Cell,GAPDH,1648.55
474,Dendritic Cell,GAS6,37.85
475,Dendritic Cell,GAS7,2.75
476,Dendritic Cell,GATAD2A,2.2
477,Dendritic Cell,GBP1,16.8
478,Dendritic Cell,GCLC,1.75
479,Dendritic Cell,GFI1B,1.3
480,Dendritic Cell,GIT1,1.8
481,Dendritic Cell,GLIPR2,100.5
482,Dendritic Cell,GLRX,261.75
483,Dendritic Cell,GLS,2.4
484,Dendritic Cell,GM2A,29.1
485,Dendritic Cell,GMDS,8.7
486,Dendritic Cell,GNA11,1.2
487,Dendritic Cell,GNA13,3.45
488,Dendritic Cell,GNA15,46.45
489,Dendritic Cell,GNAI1,2.45
490,Dendritic Cell,GNAI2,29.65
491,Dendritic Cell,GNAI3,6.95
492,Dendritic Cell,GNAQ,2.9
493,Dendritic Cell,GNAS,67.4
494,Dendritic Cell,GNB2,23.25
495,Dendritic Cell,GNB5,14
496,Dendritic Cell,GNG2,41.75
497,Dendritic Cell,GOLPH3,6.95
498,Dendritic Cell,GORASP1,4.65
