"","source","target","source_genesymbol","target_genesymbol","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","dip_url","sources","references","curation_effort","dorothea_level","n_references","n_resources"
"584","P49715","P13726","CEBPA","F3",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"585","P49715","P00740","CEBPA","F9",1,1,0,1,1,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","DoRothEA:8075306;HTRIdb:8075306",2,"A",1,2
"586","P49715","Q9H098","CEBPA","FAM107B",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"587","P49715","Q9BZQ8","CEBPA","FAM129A",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"588","P49715","O94988","CEBPA","FAM13A",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"589","P49715","Q8TCE6","CEBPA","FAM45A",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"590","P49715","Q6ZV65","CEBPA","FAM47E",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"591","P49715","Q9Y4F1","CEBPA","FARP1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"592","P49715","P25445","CEBPA","FAS",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"593","P49715","P49327","CEBPA","FASN",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"594","P49715","Q8NI29","CEBPA","FBXO27",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA","",0,"B",0,0
"595","P49715","Q6PIJ6","CEBPA","FBXO38",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"596","P49715","Q9UKB1","CEBPA","FBXW11",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"597","P49715","O94868","CEBPA","FCHSD2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"598","P49715","Q96AC1","CEBPA","FERMT2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"599","P49715","P02671","CEBPA","FGA",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"600","P49715","Q96M96","CEBPA","FGD4",1,0,0,0,0,0,NA,"JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"601","P49715","Q96C11","CEBPA","FGGY",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
